Category: All categories

Week,Pershotravens'k: (Worldwide)
2022-02-20,67
2022-02-27,58
2022-03-06,60
2022-03-13,86
2022-03-20,76
2022-03-27,83
2022-04-03,90
2022-04-10,81
2022-04-17,79
2022-04-24,76
2022-05-01,54
2022-05-08,72
2022-05-15,70
2022-05-22,99
2022-05-29,97
2022-06-05,65
2022-06-12,78
2022-06-19,85
2022-06-26,76
2022-07-03,81
2022-07-10,84
2022-07-17,69
2022-07-24,68
2022-07-31,99
2022-08-07,78
2022-08-14,89
2022-08-21,76
2022-08-28,79
2022-09-04,69
2022-09-11,73
2022-09-18,77
2022-09-25,77
2022-10-02,73
2022-10-09,64
2022-10-16,64
2022-10-23,69
2022-10-30,70
2022-11-06,64
2022-11-13,79
2022-11-20,70
2022-11-27,69
2022-12-04,66
2022-12-11,78
2022-12-18,66
2022-12-25,73
2023-01-01,79
2023-01-08,73
2023-01-15,59
2023-01-22,65
2023-01-29,60
2023-02-05,73
2023-02-12,72
2023-02-19,72
2023-02-26,74
2023-03-05,78
2023-03-12,83
2023-03-19,75
2023-03-26,89
2023-04-02,84
2023-04-09,73
2023-04-16,93
2023-04-23,97
2023-04-30,84
2023-05-07,91
2023-05-14,75
2023-05-21,88
2023-05-28,96
2023-06-04,81
2023-06-11,99
2023-06-18,83
2023-06-25,100
2023-07-02,89
2023-07-09,84
2023-07-16,74
2023-07-23,64
