Category: All categories

Week,Petropavlivka: (Worldwide)
2022-02-20,22
2022-02-27,12
2022-03-06,17
2022-03-13,22
2022-03-20,21
2022-03-27,23
2022-04-03,26
2022-04-10,34
2022-04-17,29
2022-04-24,36
2022-05-01,26
2022-05-08,32
2022-05-15,25
2022-05-22,51
2022-05-29,47
2022-06-05,22
2022-06-12,35
2022-06-19,38
2022-06-26,31
2022-07-03,32
2022-07-10,24
2022-07-17,32
2022-07-24,32
2022-07-31,30
2022-08-07,26
2022-08-14,37
2022-08-21,31
2022-08-28,29
2022-09-04,34
2022-09-11,30
2022-09-18,43
2022-09-25,37
2022-10-02,100
2022-10-09,25
2022-10-16,32
2022-10-23,39
2022-10-30,29
2022-11-06,32
2022-11-13,24
2022-11-20,24
2022-11-27,23
2022-12-04,29
2022-12-11,34
2022-12-18,29
2022-12-25,29
2023-01-01,28
2023-01-08,36
2023-01-15,26
2023-01-22,26
2023-01-29,30
2023-02-05,28
2023-02-12,30
2023-02-19,30
2023-02-26,28
2023-03-05,28
2023-03-12,29
2023-03-19,29
2023-03-26,37
2023-04-02,35
2023-04-09,41
2023-04-16,44
2023-04-23,38
2023-04-30,34
2023-05-07,34
2023-05-14,34
2023-05-21,33
2023-05-28,34
2023-06-04,34
2023-06-11,41
2023-06-18,38
2023-06-25,35
2023-07-02,36
2023-07-09,44
2023-07-16,38
