Category: All categories

Week,Pisochyn: (Worldwide)
2022-02-20,77
2022-02-27,100
2022-03-06,34
2022-03-13,24
2022-03-20,21
2022-03-27,27
2022-04-03,24
2022-04-10,51
2022-04-17,32
2022-04-24,33
2022-05-01,29
2022-05-08,39
2022-05-15,39
2022-05-22,40
2022-05-29,48
2022-06-05,46
2022-06-12,50
2022-06-19,35
2022-06-26,36
2022-07-03,34
2022-07-10,37
2022-07-17,43
2022-07-24,42
2022-07-31,43
2022-08-07,35
2022-08-14,39
2022-08-21,32
2022-08-28,35
2022-09-04,33
2022-09-11,37
2022-09-18,40
2022-09-25,37
2022-10-02,31
2022-10-09,28
2022-10-16,35
2022-10-23,32
2022-10-30,31
2022-11-06,26
2022-11-13,33
2022-11-20,31
2022-11-27,27
2022-12-04,37
2022-12-11,31
2022-12-18,27
2022-12-25,28
2023-01-01,32
2023-01-08,29
2023-01-15,28
2023-01-22,32
2023-01-29,27
2023-02-05,26
2023-02-12,29
2023-02-19,28
2023-02-26,28
2023-03-05,32
2023-03-12,28
2023-03-19,31
2023-03-26,36
2023-04-02,35
2023-04-09,34
2023-04-16,30
2023-04-23,37
2023-04-30,30
2023-05-07,32
2023-05-14,22
2023-05-21,36
2023-05-28,32
2023-06-04,33
2023-06-11,36
2023-06-18,31
2023-06-25,31
2023-07-02,40
2023-07-09,34
2023-07-16,32
2023-07-23,25
