Category: All categories

Week,Pobuzke: (Worldwide)
2022-02-20,61
2022-02-27,48
2022-03-06,62
2022-03-13,36
2022-03-20,45
2022-03-27,62
2022-04-03,43
2022-04-10,66
2022-04-17,68
2022-04-24,58
2022-05-01,55
2022-05-08,56
2022-05-15,71
2022-05-22,67
2022-05-29,68
2022-06-05,50
2022-06-12,65
2022-06-19,72
2022-06-26,64
2022-07-03,70
2022-07-10,60
2022-07-17,61
2022-07-24,72
2022-07-31,78
2022-08-07,62
2022-08-14,64
2022-08-21,39
2022-08-28,40
2022-09-04,48
2022-09-11,57
2022-09-18,57
2022-09-25,46
2022-10-02,50
2022-10-09,54
2022-10-16,100
2022-10-23,49
2022-10-30,46
2022-11-06,42
2022-11-13,67
2022-11-20,45
2022-11-27,41
2022-12-04,65
2022-12-11,46
2022-12-18,46
2022-12-25,43
2023-01-01,58
2023-01-08,35
2023-01-15,45
2023-01-22,40
2023-01-29,42
2023-02-05,32
2023-02-12,43
2023-02-19,58
2023-02-26,55
2023-03-05,37
2023-03-12,41
2023-03-19,53
2023-03-26,65
2023-04-02,66
2023-04-09,65
2023-04-16,75
2023-04-23,58
2023-04-30,46
2023-05-07,53
2023-05-14,37
2023-05-21,79
2023-05-28,41
2023-06-04,56
2023-06-11,86
2023-06-18,71
2023-06-25,61
2023-07-02,60
2023-07-09,45
2023-07-16,58
2023-07-23,0
