Category: All categories

Week,Pochaiv: (Worldwide)
2022-02-20,67
2022-02-27,75
2022-03-06,79
2022-03-13,59
2022-03-20,62
2022-03-27,65
2022-04-03,63
2022-04-10,62
2022-04-17,67
2022-04-24,54
2022-05-01,56
2022-05-08,64
2022-05-15,56
2022-05-22,58
2022-05-29,66
2022-06-05,57
2022-06-12,59
2022-06-19,57
2022-06-26,58
2022-07-03,57
2022-07-10,64
2022-07-17,51
2022-07-24,62
2022-07-31,88
2022-08-07,74
2022-08-14,76
2022-08-21,100
2022-08-28,72
2022-09-04,62
2022-09-11,69
2022-09-18,58
2022-09-25,70
2022-10-02,56
2022-10-09,48
2022-10-16,56
2022-10-23,61
2022-10-30,53
2022-11-06,51
2022-11-13,55
2022-11-20,46
2022-11-27,47
2022-12-04,52
2022-12-11,43
2022-12-18,42
2022-12-25,64
2023-01-01,69
2023-01-08,49
2023-01-15,54
2023-01-22,46
2023-01-29,40
2023-02-05,48
2023-02-12,43
2023-02-19,51
2023-02-26,41
2023-03-05,58
2023-03-12,61
2023-03-19,65
2023-03-26,78
2023-04-02,77
2023-04-09,72
2023-04-16,65
2023-04-23,69
2023-04-30,63
2023-05-07,58
2023-05-14,54
2023-05-21,57
2023-05-28,50
2023-06-04,58
2023-06-11,62
2023-06-18,58
2023-06-25,60
2023-07-02,62
2023-07-09,53
2023-07-16,58
2023-07-23,79
