Category: All categories

Week,Podilsk: (Worldwide)
2022-02-20,100
2022-02-27,70
2022-03-06,68
2022-03-13,65
2022-03-20,69
2022-03-27,64
2022-04-03,62
2022-04-10,73
2022-04-17,62
2022-04-24,68
2022-05-01,57
2022-05-08,67
2022-05-15,70
2022-05-22,72
2022-05-29,65
2022-06-05,75
2022-06-12,71
2022-06-19,76
2022-06-26,69
2022-07-03,84
2022-07-10,77
2022-07-17,68
2022-07-24,75
2022-07-31,73
2022-08-07,80
2022-08-14,67
2022-08-21,62
2022-08-28,70
2022-09-04,63
2022-09-11,74
2022-09-18,73
2022-09-25,61
2022-10-02,56
2022-10-09,62
2022-10-16,67
2022-10-23,60
2022-10-30,64
2022-11-06,58
2022-11-13,67
2022-11-20,60
2022-11-27,52
2022-12-04,50
2022-12-11,55
2022-12-18,64
2022-12-25,61
2023-01-01,60
2023-01-08,66
2023-01-15,59
2023-01-22,57
2023-01-29,61
2023-02-05,62
2023-02-12,64
2023-02-19,69
2023-02-26,66
2023-03-05,68
2023-03-12,73
2023-03-19,74
2023-03-26,89
2023-04-02,88
2023-04-09,86
2023-04-16,86
2023-04-23,84
2023-04-30,70
2023-05-07,79
2023-05-14,81
2023-05-21,74
2023-05-28,73
2023-06-04,70
2023-06-11,81
2023-06-18,90
2023-06-25,90
2023-07-02,88
2023-07-09,79
2023-07-16,85
