Category: All categories

Week,Pokrov: (Worldwide)
2022-02-20,20
2022-02-27,18
2022-03-06,24
2022-03-13,23
2022-03-20,35
2022-03-27,18
2022-04-03,22
2022-04-10,19
2022-04-17,19
2022-04-24,19
2022-05-01,22
2022-05-08,20
2022-05-15,20
2022-05-22,19
2022-05-29,18
2022-06-05,23
2022-06-12,25
2022-06-19,22
2022-06-26,13
2022-07-03,22
2022-07-10,19
2022-07-17,14
2022-07-24,14
2022-07-31,15
2022-08-07,16
2022-08-14,17
2022-08-21,20
2022-08-28,19
2022-09-04,19
2022-09-11,20
2022-09-18,21
2022-09-25,19
2022-10-02,20
2022-10-09,100
2022-10-16,19
2022-10-23,14
2022-10-30,17
2022-11-06,16
2022-11-13,19
2022-11-20,12
2022-11-27,19
2022-12-04,17
2022-12-11,19
2022-12-18,16
2022-12-25,12
2023-01-01,16
2023-01-08,19
2023-01-15,20
2023-01-22,13
2023-01-29,17
2023-02-05,13
2023-02-12,21
2023-02-19,14
2023-02-26,13
2023-03-05,12
2023-03-12,18
2023-03-19,16
2023-03-26,15
2023-04-02,21
2023-04-09,19
2023-04-16,21
2023-04-23,17
2023-04-30,18
2023-05-07,21
2023-05-14,15
2023-05-21,15
2023-05-28,12
2023-06-04,17
2023-06-11,16
2023-06-18,19
2023-06-25,16
2023-07-02,17
2023-07-09,16
2023-07-16,21
2023-07-23,22
