Category: All categories

Week,Pokrovs'ke: (Worldwide)
2022-02-20,47
2022-02-27,35
2022-03-06,51
2022-03-13,46
2022-03-20,42
2022-03-27,59
2022-04-03,60
2022-04-10,61
2022-04-17,71
2022-04-24,68
2022-05-01,74
2022-05-08,62
2022-05-15,65
2022-05-22,64
2022-05-29,80
2022-06-05,62
2022-06-12,68
2022-06-19,58
2022-06-26,64
2022-07-03,94
2022-07-10,72
2022-07-17,100
2022-07-24,74
2022-07-31,91
2022-08-07,70
2022-08-14,82
2022-08-21,66
2022-08-28,61
2022-09-04,70
2022-09-11,70
2022-09-18,65
2022-09-25,56
2022-10-02,58
2022-10-09,52
2022-10-16,53
2022-10-23,64
2022-10-30,57
2022-11-06,52
2022-11-13,68
2022-11-20,53
2022-11-27,48
2022-12-04,73
2022-12-11,61
2022-12-18,63
2022-12-25,51
2023-01-01,72
2023-01-08,77
2023-01-15,61
2023-01-22,67
2023-01-29,63
2023-02-05,67
2023-02-12,83
2023-02-19,68
2023-02-26,64
2023-03-05,72
2023-03-12,74
2023-03-19,60
2023-03-26,70
2023-04-02,84
2023-04-09,76
2023-04-16,83
2023-04-23,81
2023-04-30,71
2023-05-07,76
2023-05-14,78
2023-05-21,93
2023-05-28,97
2023-06-04,66
2023-06-11,78
2023-06-18,78
2023-06-25,87
2023-07-02,86
2023-07-09,90
2023-07-16,76
2023-07-23,79
