Category: All categories

Week,poltava: (Worldwide)
2022-02-20,78
2022-02-27,92
2022-03-06,100
2022-03-13,36
2022-03-20,37
2022-03-27,34
2022-04-03,32
2022-04-10,27
2022-04-17,22
2022-04-24,29
2022-05-01,22
2022-05-08,27
2022-05-15,19
2022-05-22,18
2022-05-29,20
2022-06-05,18
2022-06-12,19
2022-06-19,17
2022-06-26,33
2022-07-03,18
2022-07-10,18
2022-07-17,33
2022-07-24,37
2022-07-31,18
2022-08-07,13
2022-08-14,16
2022-08-21,23
2022-08-28,15
2022-09-04,13
2022-09-11,35
2022-09-18,16
2022-09-25,14
2022-10-02,18
2022-10-09,20
2022-10-16,28
2022-10-23,22
2022-10-30,31
2022-11-06,26
2022-11-13,28
2022-11-20,44
2022-11-27,15
2022-12-04,14
2022-12-11,14
2022-12-18,17
2022-12-25,16
2023-01-01,12
2023-01-08,14
2023-01-15,14
2023-01-22,14
2023-01-29,14
2023-02-05,15
2023-02-12,17
2023-02-19,17
2023-02-26,21
2023-03-05,17
2023-03-12,17
2023-03-19,14
2023-03-26,15
2023-04-02,16
2023-04-09,15
2023-04-16,17
2023-04-23,17
2023-04-30,28
2023-05-07,22
2023-05-14,20
2023-05-21,23
2023-05-28,22
2023-06-04,20
2023-06-11,16
2023-06-18,16
2023-06-25,12
2023-07-02,14
2023-07-09,16
2023-07-16,15
