Category: All categories

Week,Pravdyne: (Worldwide)
2022-02-20,0
2022-02-27,1
2022-03-06,5
2022-03-13,11
2022-03-20,3
2022-03-27,3
2022-04-03,6
2022-04-10,20
2022-04-17,1
2022-04-24,6
2022-05-01,1
2022-05-08,2
2022-05-15,3
2022-05-22,3
2022-05-29,7
2022-06-05,0
2022-06-12,2
2022-06-19,10
2022-06-26,3
2022-07-03,10
2022-07-10,3
2022-07-17,1
2022-07-24,0
2022-07-31,2
2022-08-07,2
2022-08-14,2
2022-08-21,2
2022-08-28,100
2022-09-04,6
2022-09-11,31
2022-09-18,48
2022-09-25,13
2022-10-02,8
2022-10-09,8
2022-10-16,2
2022-10-23,6
2022-10-30,1
2022-11-06,92
2022-11-13,7
2022-11-20,3
2022-11-27,5
2022-12-04,2
2022-12-11,0
2022-12-18,2
2022-12-25,1
2023-01-01,1
2023-01-08,0
2023-01-15,1
2023-01-22,0
2023-01-29,2
2023-02-05,4
2023-02-12,3
2023-02-19,3
2023-02-26,1
2023-03-05,2
2023-03-12,3
2023-03-19,2
2023-03-26,2
2023-04-02,2
2023-04-09,3
2023-04-16,3
2023-04-23,2
2023-04-30,3
2023-05-07,0
2023-05-14,0
2023-05-21,2
2023-05-28,4
2023-06-04,3
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,3
2023-07-09,2
2023-07-16,0
2023-07-23,0
