Category: All categories

Week,pripyat: (Worldwide)
2022-02-20,93
2022-02-27,100
2022-03-06,44
2022-03-13,33
2022-03-20,26
2022-03-27,26
2022-04-03,31
2022-04-10,26
2022-04-17,25
2022-04-24,23
2022-05-01,22
2022-05-08,22
2022-05-15,22
2022-05-22,25
2022-05-29,23
2022-06-05,21
2022-06-12,16
2022-06-19,18
2022-06-26,17
2022-07-03,17
2022-07-10,20
2022-07-17,19
2022-07-24,17
2022-07-31,16
2022-08-07,16
2022-08-14,17
2022-08-21,17
2022-08-28,17
2022-09-04,14
2022-09-11,13
2022-09-18,15
2022-09-25,16
2022-10-02,19
2022-10-09,19
2022-10-16,18
2022-10-23,22
2022-10-30,16
2022-11-06,17
2022-11-13,15
2022-11-20,15
2022-11-27,15
2022-12-04,19
2022-12-11,17
2022-12-18,18
2022-12-25,21
2023-01-01,22
2023-01-08,19
2023-01-15,23
2023-01-22,22
2023-01-29,22
2023-02-05,20
2023-02-12,20
2023-02-19,19
2023-02-26,20
2023-03-05,18
2023-03-12,19
2023-03-19,18
2023-03-26,18
2023-04-02,16
2023-04-09,19
2023-04-16,18
2023-04-23,18
2023-04-30,16
2023-05-07,15
2023-05-14,16
2023-05-21,17
2023-05-28,16
2023-06-04,15
2023-06-11,16
2023-06-18,16
2023-06-25,16
2023-07-02,17
2023-07-09,16
2023-07-16,17
