Category: All categories

Week,Putyvl': (Worldwide)
2022-02-20,100
2022-02-27,40
2022-03-06,43
2022-03-13,38
2022-03-20,62
2022-03-27,66
2022-04-03,87
2022-04-10,61
2022-04-17,72
2022-04-24,52
2022-05-01,48
2022-05-08,62
2022-05-15,59
2022-05-22,62
2022-05-29,59
2022-06-05,46
2022-06-12,52
2022-06-19,59
2022-06-26,42
2022-07-03,59
2022-07-10,68
2022-07-17,63
2022-07-24,45
2022-07-31,54
2022-08-07,62
2022-08-14,50
2022-08-21,38
2022-08-28,44
2022-09-04,47
2022-09-11,68
2022-09-18,55
2022-09-25,54
2022-10-02,54
2022-10-09,48
2022-10-16,46
2022-10-23,52
2022-10-30,43
2022-11-06,37
2022-11-13,48
2022-11-20,47
2022-11-27,35
2022-12-04,37
2022-12-11,58
2022-12-18,36
2022-12-25,48
2023-01-01,52
2023-01-08,50
2023-01-15,40
2023-01-22,38
2023-01-29,40
2023-02-05,40
2023-02-12,47
2023-02-19,49
2023-02-26,46
2023-03-05,45
2023-03-12,52
2023-03-19,55
2023-03-26,57
2023-04-02,58
2023-04-09,59
2023-04-16,49
2023-04-23,51
2023-04-30,49
2023-05-07,47
2023-05-14,50
2023-05-21,59
2023-05-28,44
2023-06-04,47
2023-06-11,47
2023-06-18,58
2023-06-25,58
2023-07-02,60
2023-07-09,56
2023-07-16,51
2023-07-23,29
