Category: All categories

Week,Radekhiv: (Worldwide)
2022-02-20,8
2022-02-27,8
2022-03-06,7
2022-03-13,7
2022-03-20,7
2022-03-27,9
2022-04-03,100
2022-04-10,9
2022-04-17,8
2022-04-24,9
2022-05-01,7
2022-05-08,9
2022-05-15,8
2022-05-22,10
2022-05-29,10
2022-06-05,8
2022-06-12,9
2022-06-19,9
2022-06-26,10
2022-07-03,11
2022-07-10,10
2022-07-17,9
2022-07-24,10
2022-07-31,21
2022-08-07,12
2022-08-14,8
2022-08-21,8
2022-08-28,9
2022-09-04,9
2022-09-11,11
2022-09-18,9
2022-09-25,10
2022-10-02,9
2022-10-09,7
2022-10-16,8
2022-10-23,8
2022-10-30,9
2022-11-06,8
2022-11-13,9
2022-11-20,8
2022-11-27,6
2022-12-04,7
2022-12-11,7
2022-12-18,9
2022-12-25,7
2023-01-01,9
2023-01-08,8
2023-01-15,8
2023-01-22,7
2023-01-29,9
2023-02-05,7
2023-02-12,7
2023-02-19,9
2023-02-26,8
2023-03-05,9
2023-03-12,10
2023-03-19,9
2023-03-26,12
2023-04-02,10
2023-04-09,9
2023-04-16,9
2023-04-23,9
2023-04-30,10
2023-05-07,9
2023-05-14,10
2023-05-21,9
2023-05-28,8
2023-06-04,10
2023-06-11,10
2023-06-18,11
2023-06-25,10
2023-07-02,11
2023-07-09,9
2023-07-16,9
2023-07-23,10
