Category: All categories

Week,Reshetylivka: (Worldwide)
2022-02-20,60
2022-02-27,56
2022-03-06,67
2022-03-13,60
2022-03-20,62
2022-03-27,72
2022-04-03,74
2022-04-10,87
2022-04-17,85
2022-04-24,77
2022-05-01,60
2022-05-08,73
2022-05-15,80
2022-05-22,68
2022-05-29,96
2022-06-05,68
2022-06-12,76
2022-06-19,76
2022-06-26,81
2022-07-03,83
2022-07-10,78
2022-07-17,89
2022-07-24,88
2022-07-31,89
2022-08-07,80
2022-08-14,71
2022-08-21,66
2022-08-28,68
2022-09-04,67
2022-09-11,90
2022-09-18,73
2022-09-25,84
2022-10-02,74
2022-10-09,64
2022-10-16,70
2022-10-23,76
2022-10-30,70
2022-11-06,61
2022-11-13,85
2022-11-20,55
2022-11-27,68
2022-12-04,50
2022-12-11,88
2022-12-18,65
2022-12-25,70
2023-01-01,68
2023-01-08,73
2023-01-15,70
2023-01-22,55
2023-01-29,55
2023-02-05,73
2023-02-12,75
2023-02-19,78
2023-02-26,82
2023-03-05,68
2023-03-12,69
2023-03-19,77
2023-03-26,95
2023-04-02,84
2023-04-09,100
2023-04-16,93
2023-04-23,96
2023-04-30,95
2023-05-07,81
2023-05-14,72
2023-05-21,95
2023-05-28,76
2023-06-04,77
2023-06-11,71
2023-06-18,79
2023-06-25,92
2023-07-02,93
2023-07-09,80
2023-07-16,77
2023-07-23,72
