Category: All categories

Week,Ripky: (Worldwide)
2022-02-20,100
2022-02-27,53
2022-03-06,45
2022-03-13,48
2022-03-20,24
2022-03-27,23
2022-04-03,65
2022-04-10,71
2022-04-17,84
2022-04-24,73
2022-05-01,53
2022-05-08,74
2022-05-15,59
2022-05-22,80
2022-05-29,94
2022-06-05,54
2022-06-12,58
2022-06-19,68
2022-06-26,84
2022-07-03,96
2022-07-10,89
2022-07-17,82
2022-07-24,74
2022-07-31,79
2022-08-07,79
2022-08-14,77
2022-08-21,56
2022-08-28,71
2022-09-04,61
2022-09-11,78
2022-09-18,78
2022-09-25,66
2022-10-02,61
2022-10-09,59
2022-10-16,70
2022-10-23,52
2022-10-30,68
2022-11-06,56
2022-11-13,92
2022-11-20,59
2022-11-27,46
2022-12-04,52
2022-12-11,60
2022-12-18,77
2022-12-25,61
2023-01-01,61
2023-01-08,44
2023-01-15,64
2023-01-22,47
2023-01-29,59
2023-02-05,61
2023-02-12,60
2023-02-19,52
2023-02-26,65
2023-03-05,57
2023-03-12,70
2023-03-19,79
2023-03-26,63
2023-04-02,77
2023-04-09,62
2023-04-16,75
2023-04-23,78
2023-04-30,71
2023-05-07,61
2023-05-14,69
2023-05-21,56
2023-05-28,64
2023-06-04,79
2023-06-11,71
2023-06-18,82
2023-06-25,78
2023-07-02,94
2023-07-09,90
2023-07-16,88
2023-07-23,86
