Category: All categories

Week,rivne: (Worldwide)
2022-02-20,77
2022-02-27,84
2022-03-06,59
2022-03-13,64
2022-03-20,46
2022-03-27,36
2022-04-03,24
2022-04-10,16
2022-04-17,20
2022-04-24,20
2022-05-01,23
2022-05-08,17
2022-05-15,19
2022-05-22,18
2022-05-29,20
2022-06-05,18
2022-06-12,16
2022-06-19,16
2022-06-26,15
2022-07-03,15
2022-07-10,16
2022-07-17,13
2022-07-24,15
2022-07-31,13
2022-08-07,16
2022-08-14,14
2022-08-21,31
2022-08-28,19
2022-09-04,15
2022-09-11,14
2022-09-18,14
2022-09-25,49
2022-10-02,32
2022-10-09,33
2022-10-16,32
2022-10-23,21
2022-10-30,36
2022-11-06,100
2022-11-13,27
2022-11-20,78
2022-11-27,17
2022-12-04,15
2022-12-11,14
2022-12-18,16
2022-12-25,20
2023-01-01,15
2023-01-08,15
2023-01-15,12
2023-01-22,16
2023-01-29,14
2023-02-05,15
2023-02-12,13
2023-02-19,14
2023-02-26,20
2023-03-05,15
2023-03-12,24
2023-03-19,15
2023-03-26,19
2023-04-02,20
2023-04-09,18
2023-04-16,16
2023-04-23,37
2023-04-30,47
2023-05-07,22
2023-05-14,59
2023-05-21,28
2023-05-28,38
2023-06-04,26
2023-06-11,54
2023-06-18,11
2023-06-25,13
2023-07-02,18
2023-07-09,18
2023-07-16,17
