Category: All categories

Week,Rodyns'ke: (Worldwide)
2022-02-20,46
2022-02-27,50
2022-03-06,48
2022-03-13,52
2022-03-20,60
2022-03-27,64
2022-04-03,50
2022-04-10,62
2022-04-17,58
2022-04-24,53
2022-05-01,45
2022-05-08,40
2022-05-15,78
2022-05-22,66
2022-05-29,72
2022-06-05,58
2022-06-12,65
2022-06-19,44
2022-06-26,57
2022-07-03,43
2022-07-10,63
2022-07-17,78
2022-07-24,75
2022-07-31,87
2022-08-07,56
2022-08-14,73
2022-08-21,32
2022-08-28,49
2022-09-04,61
2022-09-11,80
2022-09-18,96
2022-09-25,62
2022-10-02,39
2022-10-09,51
2022-10-16,51
2022-10-23,61
2022-10-30,51
2022-11-06,30
2022-11-13,41
2022-11-20,44
2022-11-27,47
2022-12-04,45
2022-12-11,78
2022-12-18,46
2022-12-25,52
2023-01-01,51
2023-01-08,72
2023-01-15,55
2023-01-22,30
2023-01-29,52
2023-02-05,54
2023-02-12,50
2023-02-19,55
2023-02-26,53
2023-03-05,45
2023-03-12,57
2023-03-19,33
2023-03-26,75
2023-04-02,61
2023-04-09,100
2023-04-16,54
2023-04-23,66
2023-04-30,72
2023-05-07,65
2023-05-14,46
2023-05-21,67
2023-05-28,60
2023-06-04,69
2023-06-11,63
2023-06-18,49
2023-06-25,92
2023-07-02,69
2023-07-09,64
2023-07-16,81
2023-07-23,0
