Category: All categories

Week,Rozdol'ne: (Worldwide)
2022-02-20,15
2022-02-27,10
2022-03-06,7
2022-03-13,8
2022-03-20,13
2022-03-27,12
2022-04-03,12
2022-04-10,11
2022-04-17,11
2022-04-24,12
2022-05-01,11
2022-05-08,9
2022-05-15,11
2022-05-22,13
2022-05-29,12
2022-06-05,15
2022-06-12,13
2022-06-19,16
2022-06-26,11
2022-07-03,12
2022-07-10,15
2022-07-17,12
2022-07-24,10
2022-07-31,12
2022-08-07,14
2022-08-14,11
2022-08-21,11
2022-08-28,8
2022-09-04,9
2022-09-11,11
2022-09-18,9
2022-09-25,9
2022-10-02,11
2022-10-09,6
2022-10-16,7
2022-10-23,8
2022-10-30,7
2022-11-06,7
2022-11-13,13
2022-11-20,11
2022-11-27,10
2022-12-04,9
2022-12-11,10
2022-12-18,10
2022-12-25,5
2023-01-01,8
2023-01-08,9
2023-01-15,8
2023-01-22,10
2023-01-29,14
2023-02-05,8
2023-02-12,10
2023-02-19,9
2023-02-26,12
2023-03-05,12
2023-03-12,9
2023-03-19,8
2023-03-26,12
2023-04-02,11
2023-04-09,10
2023-04-16,12
2023-04-23,13
2023-04-30,9
2023-05-07,9
2023-05-14,9
2023-05-21,12
2023-05-28,9
2023-06-04,10
2023-06-11,10
2023-06-18,10
2023-06-25,8
2023-07-02,12
2023-07-09,11
2023-07-16,100
2023-07-23,25
