Category: All categories

Week,Rozivka: (Worldwide)
2022-02-20,18
2022-02-27,28
2022-03-06,23
2022-03-13,17
2022-03-20,12
2022-03-27,18
2022-04-03,76
2022-04-10,19
2022-04-17,100
2022-04-24,13
2022-05-01,12
2022-05-08,12
2022-05-15,19
2022-05-22,15
2022-05-29,15
2022-06-05,10
2022-06-12,6
2022-06-19,16
2022-06-26,15
2022-07-03,11
2022-07-10,11
2022-07-17,11
2022-07-24,9
2022-07-31,10
2022-08-07,9
2022-08-14,7
2022-08-21,7
2022-08-28,8
2022-09-04,6
2022-09-11,13
2022-09-18,15
2022-09-25,12
2022-10-02,12
2022-10-09,10
2022-10-16,10
2022-10-23,8
2022-10-30,6
2022-11-06,7
2022-11-13,6
2022-11-20,19
2022-11-27,8
2022-12-04,10
2022-12-11,14
2022-12-18,9
2022-12-25,6
2023-01-01,10
2023-01-08,9
2023-01-15,2
2023-01-22,13
2023-01-29,7
2023-02-05,11
2023-02-12,10
2023-02-19,4
2023-02-26,6
2023-03-05,10
2023-03-12,10
2023-03-19,0
2023-03-26,12
2023-04-02,10
2023-04-09,8
2023-04-16,8
2023-04-23,9
2023-04-30,17
2023-05-07,12
2023-05-14,9
2023-05-21,6
2023-05-28,16
2023-06-04,12
2023-06-11,15
2023-06-18,11
2023-06-25,15
2023-07-02,12
2023-07-09,12
2023-07-16,12
2023-07-23,0
