Category: All categories

Week,Rubizhne: (Worldwide)
2022-02-20,34
2022-02-27,28
2022-03-06,33
2022-03-13,54
2022-03-20,41
2022-03-27,38
2022-04-03,100
2022-04-10,40
2022-04-17,47
2022-04-24,33
2022-05-01,22
2022-05-08,38
2022-05-15,24
2022-05-22,14
2022-05-29,11
2022-06-05,10
2022-06-12,10
2022-06-19,7
2022-06-26,6
2022-07-03,6
2022-07-10,6
2022-07-17,5
2022-07-24,5
2022-07-31,5
2022-08-07,5
2022-08-14,5
2022-08-21,4
2022-08-28,4
2022-09-04,6
2022-09-11,6
2022-09-18,4
2022-09-25,6
2022-10-02,7
2022-10-09,4
2022-10-16,4
2022-10-23,5
2022-10-30,3
2022-11-06,4
2022-11-13,4
2022-11-20,3
2022-11-27,3
2022-12-04,3
2022-12-11,4
2022-12-18,3
2022-12-25,6
2023-01-01,4
2023-01-08,5
2023-01-15,4
2023-01-22,4
2023-01-29,4
2023-02-05,3
2023-02-12,3
2023-02-19,3
2023-02-26,3
2023-03-05,3
2023-03-12,3
2023-03-19,3
2023-03-26,3
2023-04-02,3
2023-04-09,4
2023-04-16,4
2023-04-23,3
2023-04-30,3
2023-05-07,4
2023-05-14,2
2023-05-21,3
2023-05-28,3
2023-06-04,2
2023-06-11,2
2023-06-18,2
2023-06-25,3
2023-07-02,3
2023-07-09,3
2023-07-16,3
