Category: All categories

Week,Sakhnovshchyna: (Worldwide)
2022-02-20,47
2022-02-27,80
2022-03-06,79
2022-03-13,70
2022-03-20,68
2022-03-27,79
2022-04-03,95
2022-04-10,97
2022-04-17,75
2022-04-24,81
2022-05-01,69
2022-05-08,75
2022-05-15,72
2022-05-22,74
2022-05-29,74
2022-06-05,66
2022-06-12,78
2022-06-19,88
2022-06-26,54
2022-07-03,73
2022-07-10,88
2022-07-17,84
2022-07-24,66
2022-07-31,83
2022-08-07,66
2022-08-14,77
2022-08-21,64
2022-08-28,73
2022-09-04,67
2022-09-11,77
2022-09-18,86
2022-09-25,72
2022-10-02,67
2022-10-09,60
2022-10-16,58
2022-10-23,77
2022-10-30,65
2022-11-06,55
2022-11-13,58
2022-11-20,62
2022-11-27,59
2022-12-04,55
2022-12-11,64
2022-12-18,67
2022-12-25,64
2023-01-01,73
2023-01-08,68
2023-01-15,58
2023-01-22,37
2023-01-29,47
2023-02-05,54
2023-02-12,55
2023-02-19,55
2023-02-26,61
2023-03-05,62
2023-03-12,60
2023-03-19,63
2023-03-26,78
2023-04-02,94
2023-04-09,70
2023-04-16,82
2023-04-23,100
2023-04-30,75
2023-05-07,57
2023-05-14,62
2023-05-21,90
2023-05-28,69
2023-06-04,58
2023-06-11,68
2023-06-18,67
2023-06-25,72
2023-07-02,81
2023-07-09,74
2023-07-16,69
2023-07-23,0
