Category: All categories

Week,sarny: (Worldwide)
2022-02-20,65
2022-02-27,82
2022-03-06,64
2022-03-13,100
2022-03-20,68
2022-03-27,79
2022-04-03,85
2022-04-10,81
2022-04-17,90
2022-04-24,72
2022-05-01,82
2022-05-08,78
2022-05-15,75
2022-05-22,71
2022-05-29,76
2022-06-05,73
2022-06-12,70
2022-06-19,74
2022-06-26,65
2022-07-03,57
2022-07-10,66
2022-07-17,69
2022-07-24,64
2022-07-31,68
2022-08-07,53
2022-08-14,58
2022-08-21,45
2022-08-28,55
2022-09-04,55
2022-09-11,58
2022-09-18,57
2022-09-25,81
2022-10-02,75
2022-10-09,71
2022-10-16,72
2022-10-23,81
2022-10-30,69
2022-11-06,52
2022-11-13,59
2022-11-20,63
2022-11-27,59
2022-12-04,65
2022-12-11,82
2022-12-18,80
2022-12-25,73
2023-01-01,70
2023-01-08,74
2023-01-15,74
2023-01-22,63
2023-01-29,62
2023-02-05,71
2023-02-12,76
2023-02-19,71
2023-02-26,72
2023-03-05,68
2023-03-12,61
2023-03-19,83
2023-03-26,76
2023-04-02,82
2023-04-09,93
2023-04-16,81
2023-04-23,79
2023-04-30,87
2023-05-07,73
2023-05-14,75
2023-05-21,70
2023-05-28,63
2023-06-04,83
2023-06-11,74
2023-06-18,72
2023-06-25,84
2023-07-02,83
2023-07-09,74
2023-07-16,50
