Category: All categories

Week,sartana: (Worldwide)
2022-02-20,81
2022-02-27,100
2022-03-06,57
2022-03-13,63
2022-03-20,46
2022-03-27,46
2022-04-03,28
2022-04-10,43
2022-04-17,38
2022-04-24,40
2022-05-01,42
2022-05-08,34
2022-05-15,31
2022-05-22,31
2022-05-29,43
2022-06-05,45
2022-06-12,45
2022-06-19,55
2022-06-26,53
2022-07-03,50
2022-07-10,30
2022-07-17,39
2022-07-24,41
2022-07-31,44
2022-08-07,33
2022-08-14,34
2022-08-21,35
2022-08-28,41
2022-09-04,29
2022-09-11,52
2022-09-18,34
2022-09-25,37
2022-10-02,32
2022-10-09,36
2022-10-16,32
2022-10-23,28
2022-10-30,20
2022-11-06,34
2022-11-13,29
2022-11-20,21
2022-11-27,30
2022-12-04,29
2022-12-11,29
2022-12-18,30
2022-12-25,34
2023-01-01,32
2023-01-08,37
2023-01-15,36
2023-01-22,32
2023-01-29,30
2023-02-05,28
2023-02-12,27
2023-02-19,36
2023-02-26,15
2023-03-05,31
2023-03-12,19
2023-03-19,31
2023-03-26,23
2023-04-02,35
2023-04-09,23
2023-04-16,44
2023-04-23,35
2023-04-30,12
2023-05-07,34
2023-05-14,25
2023-05-21,23
2023-05-28,36
2023-06-04,21
2023-06-11,23
2023-06-18,23
2023-06-25,26
2023-07-02,25
2023-07-09,30
2023-07-16,55
