Category: All categories

Week,Selydove: (Worldwide)
2022-02-20,96
2022-02-27,78
2022-03-06,88
2022-03-13,72
2022-03-20,90
2022-03-27,94
2022-04-03,98
2022-04-10,86
2022-04-17,67
2022-04-24,54
2022-05-01,66
2022-05-08,58
2022-05-15,73
2022-05-22,69
2022-05-29,63
2022-06-05,66
2022-06-12,73
2022-06-19,76
2022-06-26,83
2022-07-03,74
2022-07-10,71
2022-07-17,69
2022-07-24,63
2022-07-31,85
2022-08-07,68
2022-08-14,75
2022-08-21,76
2022-08-28,69
2022-09-04,75
2022-09-11,98
2022-09-18,79
2022-09-25,71
2022-10-02,59
2022-10-09,58
2022-10-16,71
2022-10-23,66
2022-10-30,69
2022-11-06,62
2022-11-13,58
2022-11-20,60
2022-11-27,65
2022-12-04,75
2022-12-11,67
2022-12-18,69
2022-12-25,65
2023-01-01,84
2023-01-08,89
2023-01-15,72
2023-01-22,74
2023-01-29,70
2023-02-05,76
2023-02-12,67
2023-02-19,78
2023-02-26,78
2023-03-05,74
2023-03-12,77
2023-03-19,86
2023-03-26,82
2023-04-02,76
2023-04-09,82
2023-04-16,76
2023-04-23,100
2023-04-30,90
2023-05-07,85
2023-05-14,70
2023-05-21,74
2023-05-28,69
2023-06-04,54
2023-06-11,78
2023-06-18,66
2023-06-25,81
2023-07-02,73
2023-07-09,77
2023-07-16,70
2023-07-23,84
