Category: All categories

Week,semenivka: (Worldwide)
2022-02-20,33
2022-02-27,0
2022-03-06,0
2022-03-13,9
2022-03-20,29
2022-03-27,0
2022-04-03,0
2022-04-10,0
2022-04-17,0
2022-04-24,17
2022-05-01,0
2022-05-08,0
2022-05-15,21
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,8
2022-07-24,0
2022-07-31,12
2022-08-07,0
2022-08-14,0
2022-08-21,8
2022-08-28,0
2022-09-04,100
2022-09-11,0
2022-09-18,10
2022-09-25,9
2022-10-02,0
2022-10-09,0
2022-10-16,0
2022-10-23,0
2022-10-30,0
2022-11-06,0
2022-11-13,0
2022-11-20,0
2022-11-27,11
2022-12-04,17
2022-12-11,0
2022-12-18,0
2022-12-25,0
2023-01-01,0
2023-01-08,13
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,16
2023-03-05,0
2023-03-12,0
2023-03-19,31
2023-03-26,9
2023-04-02,0
2023-04-09,10
2023-04-16,0
2023-04-23,0
2023-04-30,0
2023-05-07,0
2023-05-14,0
2023-05-21,0
2023-05-28,8
2023-06-04,0
2023-06-11,14
2023-06-18,0
2023-06-25,0
2023-07-02,15
2023-07-09,0
2023-07-16,0
