Category: All categories

Week,sevastopol: (Worldwide)
2022-02-20,100
2022-02-27,75
2022-03-06,44
2022-03-13,40
2022-03-20,41
2022-03-27,32
2022-04-03,28
2022-04-10,44
2022-04-17,31
2022-04-24,27
2022-05-01,23
2022-05-08,28
2022-05-15,21
2022-05-22,20
2022-05-29,16
2022-06-05,14
2022-06-12,17
2022-06-19,17
2022-06-26,22
2022-07-03,15
2022-07-10,24
2022-07-17,23
2022-07-24,20
2022-07-31,34
2022-08-07,49
2022-08-14,38
2022-08-21,38
2022-08-28,21
2022-09-04,19
2022-09-11,23
2022-09-18,27
2022-09-25,24
2022-10-02,25
2022-10-09,20
2022-10-16,20
2022-10-23,50
2022-10-30,74
2022-11-06,21
2022-11-13,20
2022-11-20,18
2022-11-27,17
2022-12-04,31
2022-12-11,21
2022-12-18,22
2022-12-25,38
2023-01-01,28
2023-01-08,20
2023-01-15,20
2023-01-22,19
2023-01-29,24
2023-02-05,20
2023-02-12,17
2023-02-19,18
2023-02-26,17
2023-03-05,16
2023-03-12,24
2023-03-19,37
2023-03-26,23
2023-04-02,18
2023-04-09,16
2023-04-16,15
2023-04-23,49
2023-04-30,25
2023-05-07,20
2023-05-14,16
2023-05-21,17
2023-05-28,15
2023-06-04,42
2023-06-11,39
2023-06-18,18
2023-06-25,15
2023-07-02,15
2023-07-09,25
2023-07-16,33
