Category: All categories

Week,Shepetivka: (Worldwide)
2022-02-20,52
2022-02-27,49
2022-03-06,52
2022-03-13,47
2022-03-20,48
2022-03-27,100
2022-04-03,63
2022-04-10,52
2022-04-17,45
2022-04-24,52
2022-05-01,48
2022-05-08,53
2022-05-15,55
2022-05-22,59
2022-05-29,57
2022-06-05,50
2022-06-12,52
2022-06-19,50
2022-06-26,51
2022-07-03,56
2022-07-10,49
2022-07-17,42
2022-07-24,50
2022-07-31,49
2022-08-07,56
2022-08-14,42
2022-08-21,79
2022-08-28,51
2022-09-04,46
2022-09-11,49
2022-09-18,48
2022-09-25,41
2022-10-02,50
2022-10-09,49
2022-10-16,38
2022-10-23,37
2022-10-30,37
2022-11-06,38
2022-11-13,40
2022-11-20,34
2022-11-27,33
2022-12-04,32
2022-12-11,39
2022-12-18,38
2022-12-25,39
2023-01-01,40
2023-01-08,38
2023-01-15,37
2023-01-22,34
2023-01-29,39
2023-02-05,46
2023-02-12,36
2023-02-19,37
2023-02-26,37
2023-03-05,39
2023-03-12,41
2023-03-19,44
2023-03-26,49
2023-04-02,50
2023-04-09,48
2023-04-16,49
2023-04-23,49
2023-04-30,48
2023-05-07,44
2023-05-14,43
2023-05-21,42
2023-05-28,39
2023-06-04,47
2023-06-11,50
2023-06-18,48
2023-06-25,49
2023-07-02,49
2023-07-09,47
2023-07-16,44
2023-07-23,39
