Category: All categories

Week,Shevchenkove: (Worldwide)
2022-02-20,9
2022-02-27,11
2022-03-06,12
2022-03-13,12
2022-03-20,10
2022-03-27,12
2022-04-03,13
2022-04-10,14
2022-04-17,8
2022-04-24,4
2022-05-01,4
2022-05-08,6
2022-05-15,8
2022-05-22,4
2022-05-29,5
2022-06-05,2
2022-06-12,10
2022-06-19,5
2022-06-26,6
2022-07-03,5
2022-07-10,4
2022-07-17,3
2022-07-24,4
2022-07-31,3
2022-08-07,4
2022-08-14,3
2022-08-21,3
2022-08-28,2
2022-09-04,100
2022-09-11,8
2022-09-18,6
2022-09-25,7
2022-10-02,8
2022-10-09,7
2022-10-16,10
2022-10-23,7
2022-10-30,8
2022-11-06,7
2022-11-13,7
2022-11-20,14
2022-11-27,6
2022-12-04,12
2022-12-11,8
2022-12-18,10
2022-12-25,7
2023-01-01,9
2023-01-08,35
2023-01-15,8
2023-01-22,8
2023-01-29,7
2023-02-05,5
2023-02-12,8
2023-02-19,9
2023-02-26,8
2023-03-05,11
2023-03-12,10
2023-03-19,11
2023-03-26,7
2023-04-02,9
2023-04-09,8
2023-04-16,11
2023-04-23,14
2023-04-30,10
2023-05-07,8
2023-05-14,9
2023-05-21,12
2023-05-28,13
2023-06-04,8
2023-06-11,13
2023-06-18,8
2023-06-25,13
2023-07-02,10
2023-07-09,10
2023-07-16,9
