Category: All categories

Week,shostka: (Worldwide)
2022-02-20,54
2022-02-27,100
2022-03-06,41
2022-03-13,49
2022-03-20,39
2022-03-27,35
2022-04-03,31
2022-04-10,17
2022-04-17,22
2022-04-24,6
2022-05-01,8
2022-05-08,17
2022-05-15,27
2022-05-22,10
2022-05-29,23
2022-06-05,15
2022-06-12,21
2022-06-19,21
2022-06-26,26
2022-07-03,17
2022-07-10,13
2022-07-17,19
2022-07-24,7
2022-07-31,6
2022-08-07,5
2022-08-14,15
2022-08-21,0
2022-08-28,17
2022-09-04,15
2022-09-11,11
2022-09-18,4
2022-09-25,12
2022-10-02,8
2022-10-09,9
2022-10-16,5
2022-10-23,10
2022-10-30,9
2022-11-06,4
2022-11-13,11
2022-11-20,5
2022-11-27,7
2022-12-04,11
2022-12-11,12
2022-12-18,9
2022-12-25,13
2023-01-01,0
2023-01-08,4
2023-01-15,43
2023-01-22,10
2023-01-29,4
2023-02-05,11
2023-02-12,0
2023-02-19,9
2023-02-26,11
2023-03-05,8
2023-03-12,15
2023-03-19,0
2023-03-26,18
2023-04-02,11
2023-04-09,4
2023-04-16,0
2023-04-23,29
2023-04-30,7
2023-05-07,9
2023-05-14,0
2023-05-21,10
2023-05-28,7
2023-06-04,5
2023-06-11,9
2023-06-18,12
2023-06-25,20
2023-07-02,7
2023-07-09,10
2023-07-16,6
