Category: All categories

Week,Shpola: (Worldwide)
2022-02-20,86
2022-02-27,89
2022-03-06,79
2022-03-13,77
2022-03-20,82
2022-03-27,87
2022-04-03,89
2022-04-10,96
2022-04-17,88
2022-04-24,84
2022-05-01,75
2022-05-08,84
2022-05-15,80
2022-05-22,81
2022-05-29,95
2022-06-05,75
2022-06-12,85
2022-06-19,96
2022-06-26,76
2022-07-03,100
2022-07-10,87
2022-07-17,76
2022-07-24,74
2022-07-31,93
2022-08-07,98
2022-08-14,87
2022-08-21,68
2022-08-28,79
2022-09-04,86
2022-09-11,81
2022-09-18,85
2022-09-25,73
2022-10-02,66
2022-10-09,55
2022-10-16,80
2022-10-23,66
2022-10-30,61
2022-11-06,69
2022-11-13,68
2022-11-20,64
2022-11-27,58
2022-12-04,62
2022-12-11,76
2022-12-18,68
2022-12-25,66
2023-01-01,87
2023-01-08,70
2023-01-15,63
2023-01-22,58
2023-01-29,74
2023-02-05,60
2023-02-12,71
2023-02-19,60
2023-02-26,70
2023-03-05,66
2023-03-12,81
2023-03-19,76
2023-03-26,91
2023-04-02,95
2023-04-09,89
2023-04-16,95
2023-04-23,100
2023-04-30,69
2023-05-07,63
2023-05-14,73
2023-05-21,91
2023-05-28,83
2023-06-04,72
2023-06-11,98
2023-06-18,95
2023-06-25,94
2023-07-02,96
2023-07-09,79
2023-07-16,81
2023-07-23,70
