Category: All categories

Week,simferopol: (Worldwide)
2022-02-20,97
2022-02-27,100
2022-03-06,44
2022-03-13,31
2022-03-20,37
2022-03-27,20
2022-04-03,25
2022-04-10,32
2022-04-17,26
2022-04-24,31
2022-05-01,27
2022-05-08,29
2022-05-15,21
2022-05-22,23
2022-05-29,21
2022-06-05,24
2022-06-12,28
2022-06-19,23
2022-06-26,24
2022-07-03,17
2022-07-10,23
2022-07-17,27
2022-07-24,17
2022-07-31,19
2022-08-07,27
2022-08-14,73
2022-08-21,22
2022-08-28,23
2022-09-04,28
2022-09-11,26
2022-09-18,16
2022-09-25,15
2022-10-02,26
2022-10-09,43
2022-10-16,25
2022-10-23,17
2022-10-30,17
2022-11-06,31
2022-11-13,26
2022-11-20,21
2022-11-27,18
2022-12-04,18
2022-12-11,29
2022-12-18,23
2022-12-25,25
2023-01-01,26
2023-01-08,21
2023-01-15,17
2023-01-22,20
2023-01-29,12
2023-02-05,16
2023-02-12,24
2023-02-19,24
2023-02-26,17
2023-03-05,26
2023-03-12,29
2023-03-19,25
2023-03-26,29
2023-04-02,15
2023-04-09,15
2023-04-16,17
2023-04-23,16
2023-04-30,29
2023-05-07,21
2023-05-14,27
2023-05-21,26
2023-05-28,19
2023-06-04,19
2023-06-11,25
2023-06-18,25
2023-06-25,18
2023-07-02,17
2023-07-09,16
2023-07-16,21
