Category: All categories

Week,skadovsk: (Worldwide)
2022-02-20,15
2022-02-27,9
2022-03-06,69
2022-03-13,100
2022-03-20,0
2022-03-27,9
2022-04-03,8
2022-04-10,12
2022-04-17,6
2022-04-24,4
2022-05-01,6
2022-05-08,6
2022-05-15,6
2022-05-22,4
2022-05-29,5
2022-06-05,6
2022-06-12,3
2022-06-19,11
2022-06-26,0
2022-07-03,0
2022-07-10,3
2022-07-17,15
2022-07-24,5
2022-07-31,25
2022-08-07,9
2022-08-14,0
2022-08-21,4
2022-08-28,2
2022-09-04,2
2022-09-11,0
2022-09-18,5
2022-09-25,6
2022-10-02,0
2022-10-09,0
2022-10-16,11
2022-10-23,8
2022-10-30,40
2022-11-06,14
2022-11-13,32
2022-11-20,11
2022-11-27,6
2022-12-04,5
2022-12-11,7
2022-12-18,4
2022-12-25,4
2023-01-01,3
2023-01-08,3
2023-01-15,7
2023-01-22,4
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,11
2023-03-05,3
2023-03-12,3
2023-03-19,7
2023-03-26,8
2023-04-02,3
2023-04-09,5
2023-04-16,2
2023-04-23,0
2023-04-30,5
2023-05-07,47
2023-05-14,2
2023-05-21,0
2023-05-28,2
2023-06-04,2
2023-06-11,3
2023-06-18,8
2023-06-25,8
2023-07-02,3
2023-07-09,9
2023-07-16,0
