Category: All categories

Week,Slavuta: (Worldwide)
2022-02-20,55
2022-02-27,55
2022-03-06,54
2022-03-13,51
2022-03-20,64
2022-03-27,65
2022-04-03,100
2022-04-10,64
2022-04-17,57
2022-04-24,57
2022-05-01,57
2022-05-08,61
2022-05-15,63
2022-05-22,69
2022-05-29,63
2022-06-05,56
2022-06-12,62
2022-06-19,69
2022-06-26,60
2022-07-03,72
2022-07-10,67
2022-07-17,62
2022-07-24,72
2022-07-31,67
2022-08-07,76
2022-08-14,61
2022-08-21,60
2022-08-28,67
2022-09-04,63
2022-09-11,71
2022-09-18,61
2022-09-25,68
2022-10-02,54
2022-10-09,53
2022-10-16,56
2022-10-23,62
2022-10-30,60
2022-11-06,61
2022-11-13,54
2022-11-20,52
2022-11-27,48
2022-12-04,50
2022-12-11,58
2022-12-18,57
2022-12-25,55
2023-01-01,59
2023-01-08,58
2023-01-15,58
2023-01-22,52
2023-01-29,54
2023-02-05,57
2023-02-12,56
2023-02-19,53
2023-02-26,55
2023-03-05,59
2023-03-12,60
2023-03-19,66
2023-03-26,68
2023-04-02,68
2023-04-09,68
2023-04-16,72
2023-04-23,64
2023-04-30,62
2023-05-07,59
2023-05-14,63
2023-05-21,57
2023-05-28,57
2023-06-04,70
2023-06-11,71
2023-06-18,72
2023-06-25,71
2023-07-02,70
2023-07-09,65
2023-07-16,70
2023-07-23,68
