Category: All categories

Week,sloviansk: (Worldwide)
2022-02-20,16
2022-02-27,5
2022-03-06,3
2022-03-13,3
2022-03-20,3
2022-03-27,4
2022-04-03,33
2022-04-10,9
2022-04-17,15
2022-04-24,16
2022-05-01,13
2022-05-08,14
2022-05-15,9
2022-05-22,13
2022-05-29,28
2022-06-05,19
2022-06-12,13
2022-06-19,10
2022-06-26,16
2022-07-03,100
2022-07-10,20
2022-07-17,16
2022-07-24,7
2022-07-31,7
2022-08-07,4
2022-08-14,5
2022-08-21,5
2022-08-28,4
2022-09-04,5
2022-09-11,7
2022-09-18,5
2022-09-25,4
2022-10-02,4
2022-10-09,3
2022-10-16,1
2022-10-23,4
2022-10-30,2
2022-11-06,2
2022-11-13,2
2022-11-20,0
2022-11-27,2
2022-12-04,6
2022-12-11,1
2022-12-18,2
2022-12-25,1
2023-01-01,2
2023-01-08,4
2023-01-15,2
2023-01-22,1
2023-01-29,3
2023-02-05,5
2023-02-12,4
2023-02-19,2
2023-02-26,5
2023-03-05,3
2023-03-12,4
2023-03-19,2
2023-03-26,6
2023-04-02,4
2023-04-09,10
2023-04-16,10
2023-04-23,1
2023-04-30,2
2023-05-07,2
2023-05-14,2
2023-05-21,3
2023-05-28,2
2023-06-04,1
2023-06-11,2
2023-06-18,1
2023-06-25,2
2023-07-02,2
2023-07-09,0
2023-07-16,3
