Category: All categories

Week,Smila: (Worldwide)
2022-02-20,81
2022-02-27,97
2022-03-06,100
2022-03-13,72
2022-03-20,74
2022-03-27,100
2022-04-03,85
2022-04-10,90
2022-04-17,83
2022-04-24,76
2022-05-01,72
2022-05-08,79
2022-05-15,86
2022-05-22,86
2022-05-29,85
2022-06-05,75
2022-06-12,80
2022-06-19,92
2022-06-26,80
2022-07-03,95
2022-07-10,88
2022-07-17,84
2022-07-24,77
2022-07-31,83
2022-08-07,81
2022-08-14,81
2022-08-21,64
2022-08-28,74
2022-09-04,72
2022-09-11,85
2022-09-18,88
2022-09-25,82
2022-10-02,72
2022-10-09,72
2022-10-16,85
2022-10-23,78
2022-10-30,72
2022-11-06,63
2022-11-13,77
2022-11-20,61
2022-11-27,59
2022-12-04,68
2022-12-11,72
2022-12-18,64
2022-12-25,69
2023-01-01,73
2023-01-08,72
2023-01-15,62
2023-01-22,58
2023-01-29,72
2023-02-05,68
2023-02-12,62
2023-02-19,71
2023-02-26,72
2023-03-05,74
2023-03-12,73
2023-03-19,75
2023-03-26,95
2023-04-02,82
2023-04-09,80
2023-04-16,85
2023-04-23,88
2023-04-30,79
2023-05-07,70
2023-05-14,75
2023-05-21,84
2023-05-28,76
2023-06-04,74
2023-06-11,79
2023-06-18,87
2023-06-25,88
2023-07-02,87
2023-07-09,84
2023-07-16,86
