Category: All categories

Week,Snihurivka: (Worldwide)
2022-02-20,2
2022-02-27,0
2022-03-06,6
2022-03-13,2
2022-03-20,0
2022-03-27,0
2022-04-03,5
2022-04-10,2
2022-04-17,0
2022-04-24,3
2022-05-01,0
2022-05-08,1
2022-05-15,0
2022-05-22,0
2022-05-29,10
2022-06-05,4
2022-06-12,1
2022-06-19,0
2022-06-26,0
2022-07-03,2
2022-07-10,4
2022-07-17,3
2022-07-24,2
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,3
2022-08-28,5
2022-09-04,3
2022-09-11,11
2022-09-18,5
2022-09-25,1
2022-10-02,54
2022-10-09,3
2022-10-16,2
2022-10-23,2
2022-10-30,2
2022-11-06,100
2022-11-13,6
2022-11-20,1
2022-11-27,1
2022-12-04,1
2022-12-11,2
2022-12-18,0
2022-12-25,0
2023-01-01,0
2023-01-08,0
2023-01-15,1
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,1
2023-02-26,0
2023-03-05,0
2023-03-12,1
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,1
2023-04-16,0
2023-04-23,0
2023-04-30,0
2023-05-07,0
2023-05-14,0
2023-05-21,0
2023-05-28,0
2023-06-04,1
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,2
2023-07-09,0
2023-07-16,0
