Category: All categories

Week,Snizhne: (Worldwide)
2022-02-20,31
2022-02-27,28
2022-03-06,29
2022-03-13,26
2022-03-20,29
2022-03-27,41
2022-04-03,36
2022-04-10,39
2022-04-17,34
2022-04-24,40
2022-05-01,34
2022-05-08,32
2022-05-15,39
2022-05-22,40
2022-05-29,34
2022-06-05,32
2022-06-12,34
2022-06-19,36
2022-06-26,34
2022-07-03,100
2022-07-10,31
2022-07-17,28
2022-07-24,17
2022-07-31,17
2022-08-07,14
2022-08-14,20
2022-08-21,15
2022-08-28,19
2022-09-04,23
2022-09-11,22
2022-09-18,24
2022-09-25,21
2022-10-02,23
2022-10-09,21
2022-10-16,22
2022-10-23,25
2022-10-30,23
2022-11-06,22
2022-11-13,31
2022-11-20,34
2022-11-27,34
2022-12-04,30
2022-12-11,41
2022-12-18,30
2022-12-25,31
2023-01-01,26
2023-01-08,26
2023-01-15,25
2023-01-22,18
2023-01-29,23
2023-02-05,22
2023-02-12,24
2023-02-19,19
2023-02-26,20
2023-03-05,19
2023-03-12,21
2023-03-19,18
2023-03-26,22
2023-04-02,21
2023-04-09,19
2023-04-16,19
2023-04-23,17
2023-04-30,16
2023-05-07,14
2023-05-14,16
2023-05-21,18
2023-05-28,18
2023-06-04,14
2023-06-11,16
2023-06-18,15
2023-06-25,12
2023-07-02,14
2023-07-09,17
2023-07-16,14
2023-07-23,20
