Category: All categories

Week,Snovsk: (Worldwide)
2022-02-20,97
2022-02-27,39
2022-03-06,42
2022-03-13,27
2022-03-20,34
2022-03-27,87
2022-04-03,63
2022-04-10,73
2022-04-17,58
2022-04-24,58
2022-05-01,51
2022-05-08,51
2022-05-15,66
2022-05-22,49
2022-05-29,69
2022-06-05,43
2022-06-12,66
2022-06-19,64
2022-06-26,70
2022-07-03,71
2022-07-10,68
2022-07-17,84
2022-07-24,64
2022-07-31,59
2022-08-07,74
2022-08-14,68
2022-08-21,58
2022-08-28,53
2022-09-04,49
2022-09-11,66
2022-09-18,66
2022-09-25,65
2022-10-02,63
2022-10-09,38
2022-10-16,54
2022-10-23,50
2022-10-30,45
2022-11-06,47
2022-11-13,60
2022-11-20,51
2022-11-27,43
2022-12-04,46
2022-12-11,60
2022-12-18,45
2022-12-25,57
2023-01-01,62
2023-01-08,64
2023-01-15,45
2023-01-22,46
2023-01-29,38
2023-02-05,51
2023-02-12,53
2023-02-19,59
2023-02-26,35
2023-03-05,42
2023-03-12,59
2023-03-19,70
2023-03-26,72
2023-04-02,69
2023-04-09,61
2023-04-16,51
2023-04-23,55
2023-04-30,64
2023-05-07,53
2023-05-14,47
2023-05-21,65
2023-05-28,66
2023-06-04,66
2023-06-11,61
2023-06-18,80
2023-06-25,83
2023-07-02,78
2023-07-09,77
2023-07-16,74
2023-07-23,100
