Category: All categories

Week,solone: (Worldwide)
2022-02-20,56
2022-02-27,53
2022-03-06,47
2022-03-13,54
2022-03-20,51
2022-03-27,48
2022-04-03,52
2022-04-10,46
2022-04-17,46
2022-04-24,48
2022-05-01,44
2022-05-08,41
2022-05-15,45
2022-05-22,50
2022-05-29,44
2022-06-05,39
2022-06-12,39
2022-06-19,37
2022-06-26,41
2022-07-03,37
2022-07-10,38
2022-07-17,39
2022-07-24,41
2022-07-31,39
2022-08-07,47
2022-08-14,44
2022-08-21,43
2022-08-28,46
2022-09-04,49
2022-09-11,43
2022-09-18,41
2022-09-25,63
2022-10-02,51
2022-10-09,48
2022-10-16,54
2022-10-23,49
2022-10-30,50
2022-11-06,56
2022-11-13,48
2022-11-20,47
2022-11-27,45
2022-12-04,55
2022-12-11,60
2022-12-18,100
2022-12-25,49
2023-01-01,49
2023-01-08,53
2023-01-15,53
2023-01-22,50
2023-01-29,48
2023-02-05,54
2023-02-12,52
2023-02-19,61
2023-02-26,53
2023-03-05,51
2023-03-12,47
2023-03-19,52
2023-03-26,55
2023-04-02,53
2023-04-09,43
2023-04-16,45
2023-04-23,49
2023-04-30,54
2023-05-07,45
2023-05-14,40
2023-05-21,46
2023-05-28,39
2023-06-04,45
2023-06-11,44
2023-06-18,38
2023-06-25,36
2023-07-02,46
2023-07-09,44
2023-07-16,41
2023-07-23,41
