Category: All categories

Week,Sorokyne: (Worldwide)
2022-02-20,79
2022-02-27,60
2022-03-06,61
2022-03-13,66
2022-03-20,84
2022-03-27,75
2022-04-03,73
2022-04-10,78
2022-04-17,84
2022-04-24,59
2022-05-01,81
2022-05-08,100
2022-05-15,100
2022-05-22,85
2022-05-29,74
2022-06-05,68
2022-06-12,88
2022-06-19,73
2022-06-26,73
2022-07-03,59
2022-07-10,72
2022-07-17,66
2022-07-24,53
2022-07-31,53
2022-08-07,39
2022-08-14,54
2022-08-21,43
2022-08-28,54
2022-09-04,58
2022-09-11,59
2022-09-18,53
2022-09-25,86
2022-10-02,45
2022-10-09,57
2022-10-16,51
2022-10-23,49
2022-10-30,49
2022-11-06,42
2022-11-13,44
2022-11-20,33
2022-11-27,40
2022-12-04,48
2022-12-11,42
2022-12-18,50
2022-12-25,44
2023-01-01,46
2023-01-08,54
2023-01-15,49
2023-01-22,37
2023-01-29,47
2023-02-05,53
2023-02-12,47
2023-02-19,40
2023-02-26,40
2023-03-05,42
2023-03-12,36
2023-03-19,42
2023-03-26,46
2023-04-02,42
2023-04-09,34
2023-04-16,37
2023-04-23,42
2023-04-30,39
2023-05-07,46
2023-05-14,28
2023-05-21,32
2023-05-28,39
2023-06-04,25
2023-06-11,30
2023-06-18,29
2023-06-25,30
2023-07-02,37
2023-07-09,38
2023-07-16,29
2023-07-23,31
