Category: All categories

Week,Sosnytsya: (Worldwide)
2022-02-20,100
2022-02-27,49
2022-03-06,40
2022-03-13,34
2022-03-20,50
2022-03-27,55
2022-04-03,70
2022-04-10,53
2022-04-17,51
2022-04-24,43
2022-05-01,46
2022-05-08,51
2022-05-15,71
2022-05-22,56
2022-05-29,67
2022-06-05,47
2022-06-12,55
2022-06-19,63
2022-06-26,58
2022-07-03,79
2022-07-10,67
2022-07-17,77
2022-07-24,54
2022-07-31,65
2022-08-07,69
2022-08-14,59
2022-08-21,40
2022-08-28,38
2022-09-04,66
2022-09-11,68
2022-09-18,66
2022-09-25,60
2022-10-02,60
2022-10-09,27
2022-10-16,38
2022-10-23,51
2022-10-30,49
2022-11-06,51
2022-11-13,54
2022-11-20,53
2022-11-27,37
2022-12-04,60
2022-12-11,60
2022-12-18,43
2022-12-25,48
2023-01-01,61
2023-01-08,61
2023-01-15,47
2023-01-22,44
2023-01-29,25
2023-02-05,49
2023-02-12,48
2023-02-19,52
2023-02-26,45
2023-03-05,52
2023-03-12,52
2023-03-19,56
2023-03-26,59
2023-04-02,50
2023-04-09,57
2023-04-16,42
2023-04-23,43
2023-04-30,62
2023-05-07,56
2023-05-14,58
2023-05-21,65
2023-05-28,65
2023-06-04,74
2023-06-11,54
2023-06-18,80
2023-06-25,80
2023-07-02,72
2023-07-09,63
2023-07-16,70
2023-07-23,60
