Category: All categories

Week,stanytsia luhanska: (Worldwide)
2022-02-20,100
2022-02-27,86
2022-03-06,34
2022-03-13,0
2022-03-20,0
2022-03-27,25
2022-04-03,15
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,0
2022-05-08,22
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,21
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,30
2022-08-28,0
2022-09-04,34
2022-09-11,49
2022-09-18,43
2022-09-25,0
2022-10-02,0
2022-10-09,0
2022-10-16,0
2022-10-23,0
2022-10-30,0
2022-11-06,0
2022-11-13,0
2022-11-20,0
2022-11-27,0
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,0
2023-01-01,0
2023-01-08,43
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,18
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,0
2023-03-12,0
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,17
2023-04-16,0
2023-04-23,65
2023-04-30,0
2023-05-07,18
2023-05-14,0
2023-05-21,41
2023-05-28,29
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,22
2023-07-02,0
2023-07-09,0
2023-07-16,0
