Category: All categories

Week,Starokostyantyniv: (Worldwide)
2022-02-20,100
2022-02-27,35
2022-03-06,78
2022-03-13,28
2022-03-20,31
2022-03-27,71
2022-04-03,33
2022-04-10,31
2022-04-17,31
2022-04-24,29
2022-05-01,29
2022-05-08,29
2022-05-15,32
2022-05-22,32
2022-05-29,32
2022-06-05,28
2022-06-12,29
2022-06-19,34
2022-06-26,30
2022-07-03,33
2022-07-10,34
2022-07-17,29
2022-07-24,27
2022-07-31,32
2022-08-07,36
2022-08-14,32
2022-08-21,25
2022-08-28,30
2022-09-04,32
2022-09-11,29
2022-09-18,30
2022-09-25,31
2022-10-02,31
2022-10-09,26
2022-10-16,26
2022-10-23,25
2022-10-30,26
2022-11-06,23
2022-11-13,28
2022-11-20,21
2022-11-27,22
2022-12-04,23
2022-12-11,27
2022-12-18,26
2022-12-25,29
2023-01-01,28
2023-01-08,26
2023-01-15,27
2023-01-22,21
2023-01-29,25
2023-02-05,27
2023-02-12,28
2023-02-19,29
2023-02-26,26
2023-03-05,29
2023-03-12,29
2023-03-19,32
2023-03-26,37
2023-04-02,37
2023-04-09,33
2023-04-16,33
2023-04-23,33
2023-04-30,30
2023-05-07,30
2023-05-14,29
2023-05-21,28
2023-05-28,38
2023-06-04,36
2023-06-11,34
2023-06-18,37
2023-06-25,33
2023-07-02,32
2023-07-09,34
2023-07-16,33
2023-07-23,24
