Category: All categories

Week,Stepanivka: (Worldwide)
2022-02-20,35
2022-02-27,27
2022-03-06,39
2022-03-13,43
2022-03-20,36
2022-03-27,34
2022-04-03,32
2022-04-10,50
2022-04-17,12
2022-04-24,58
2022-05-01,20
2022-05-08,55
2022-05-15,100
2022-05-22,54
2022-05-29,60
2022-06-05,33
2022-06-12,49
2022-06-19,31
2022-06-26,57
2022-07-03,70
2022-07-10,51
2022-07-17,60
2022-07-24,64
2022-07-31,64
2022-08-07,53
2022-08-14,49
2022-08-21,21
2022-08-28,31
2022-09-04,47
2022-09-11,44
2022-09-18,56
2022-09-25,53
2022-10-02,39
2022-10-09,15
2022-10-16,61
2022-10-23,35
2022-10-30,56
2022-11-06,52
2022-11-13,66
2022-11-20,25
2022-11-27,55
2022-12-04,24
2022-12-11,35
2022-12-18,31
2022-12-25,17
2023-01-01,32
2023-01-08,62
2023-01-15,41
2023-01-22,11
2023-01-29,38
2023-02-05,36
2023-02-12,49
2023-02-19,48
2023-02-26,29
2023-03-05,24
2023-03-12,32
2023-03-19,58
2023-03-26,33
2023-04-02,44
2023-04-09,58
2023-04-16,63
2023-04-23,64
2023-04-30,51
2023-05-07,62
2023-05-14,43
2023-05-21,49
2023-05-28,34
2023-06-04,59
2023-06-11,40
2023-06-18,62
2023-06-25,70
2023-07-02,60
2023-07-09,39
2023-07-16,42
2023-07-23,0
