Category: All categories

Week,Stryi: (Worldwide)
2022-02-20,83
2022-02-27,75
2022-03-06,90
2022-03-13,79
2022-03-20,80
2022-03-27,84
2022-04-03,85
2022-04-10,84
2022-04-17,79
2022-04-24,77
2022-05-01,79
2022-05-08,77
2022-05-15,77
2022-05-22,84
2022-05-29,100
2022-06-05,81
2022-06-12,81
2022-06-19,79
2022-06-26,79
2022-07-03,89
2022-07-10,84
2022-07-17,77
2022-07-24,84
2022-07-31,80
2022-08-07,89
2022-08-14,80
2022-08-21,76
2022-08-28,78
2022-09-04,77
2022-09-11,80
2022-09-18,79
2022-09-25,79
2022-10-02,70
2022-10-09,68
2022-10-16,70
2022-10-23,68
2022-10-30,73
2022-11-06,66
2022-11-13,68
2022-11-20,62
2022-11-27,53
2022-12-04,59
2022-12-11,61
2022-12-18,61
2022-12-25,65
2023-01-01,62
2023-01-08,68
2023-01-15,58
2023-01-22,55
2023-01-29,64
2023-02-05,65
2023-02-12,63
2023-02-19,64
2023-02-26,64
2023-03-05,67
2023-03-12,75
2023-03-19,76
2023-03-26,81
2023-04-02,78
2023-04-09,77
2023-04-16,74
2023-04-23,80
2023-04-30,74
2023-05-07,73
2023-05-14,74
2023-05-21,71
2023-05-28,67
2023-06-04,83
2023-06-11,80
2023-06-18,84
2023-06-25,81
2023-07-02,82
2023-07-09,80
2023-07-16,83
2023-07-23,83
