Category: All categories

Week,Studenok: (Worldwide)
2022-02-20,13
2022-02-27,18
2022-03-06,13
2022-03-13,17
2022-03-20,8
2022-03-27,25
2022-04-03,0
2022-04-10,13
2022-04-17,0
2022-04-24,21
2022-05-01,14
2022-05-08,0
2022-05-15,23
2022-05-22,21
2022-05-29,28
2022-06-05,33
2022-06-12,8
2022-06-19,0
2022-06-26,12
2022-07-03,7
2022-07-10,11
2022-07-17,8
2022-07-24,30
2022-07-31,0
2022-08-07,13
2022-08-14,19
2022-08-21,0
2022-08-28,6
2022-09-04,38
2022-09-11,100
2022-09-18,42
2022-09-25,7
2022-10-02,0
2022-10-09,0
2022-10-16,21
2022-10-23,12
2022-10-30,0
2022-11-06,0
2022-11-13,18
2022-11-20,8
2022-11-27,0
2022-12-04,23
2022-12-11,5
2022-12-18,18
2022-12-25,0
2023-01-01,5
2023-01-08,6
2023-01-15,43
2023-01-22,24
2023-01-29,5
2023-02-05,13
2023-02-12,9
2023-02-19,9
2023-02-26,0
2023-03-05,8
2023-03-12,8
2023-03-19,12
2023-03-26,9
2023-04-02,5
2023-04-09,0
2023-04-16,7
2023-04-23,24
2023-04-30,19
2023-05-07,0
2023-05-14,17
2023-05-21,15
2023-05-28,20
2023-06-04,12
2023-06-11,6
2023-06-18,9
2023-06-25,16
2023-07-02,21
2023-07-09,20
2023-07-16,0
2023-07-23,32
