Category: All categories

Week,Sudak: (Worldwide)
2022-02-20,25
2022-02-27,22
2022-03-06,24
2022-03-13,26
2022-03-20,27
2022-03-27,26
2022-04-03,29
2022-04-10,31
2022-04-17,31
2022-04-24,30
2022-05-01,33
2022-05-08,30
2022-05-15,35
2022-05-22,36
2022-05-29,41
2022-06-05,55
2022-06-12,60
2022-06-19,78
2022-06-26,80
2022-07-03,80
2022-07-10,96
2022-07-17,100
2022-07-24,93
2022-07-31,97
2022-08-07,98
2022-08-14,89
2022-08-21,67
2022-08-28,57
2022-09-04,57
2022-09-11,47
2022-09-18,36
2022-09-25,27
2022-10-02,27
2022-10-09,23
2022-10-16,20
2022-10-23,29
2022-10-30,21
2022-11-06,25
2022-11-13,21
2022-11-20,21
2022-11-27,21
2022-12-04,22
2022-12-11,23
2022-12-18,21
2022-12-25,19
2023-01-01,22
2023-01-08,22
2023-01-15,23
2023-01-22,23
2023-01-29,22
2023-02-05,28
2023-02-12,24
2023-02-19,25
2023-02-26,26
2023-03-05,23
2023-03-12,28
2023-03-19,28
2023-03-26,28
2023-04-02,28
2023-04-09,25
2023-04-16,28
2023-04-23,30
2023-04-30,29
2023-05-07,29
2023-05-14,30
2023-05-21,34
2023-05-28,37
2023-06-04,39
2023-06-11,44
2023-06-18,47
2023-06-25,54
2023-07-02,59
2023-07-09,77
2023-07-16,59
2023-07-23,43
