Category: All categories

Week,sumy: (Worldwide)
2022-02-20,100
2022-02-27,80
2022-03-06,90
2022-03-13,29
2022-03-20,32
2022-03-27,27
2022-04-03,28
2022-04-10,14
2022-04-17,13
2022-04-24,14
2022-05-01,11
2022-05-08,13
2022-05-15,17
2022-05-22,11
2022-05-29,12
2022-06-05,12
2022-06-12,10
2022-06-19,9
2022-06-26,9
2022-07-03,9
2022-07-10,8
2022-07-17,9
2022-07-24,8
2022-07-31,7
2022-08-07,8
2022-08-14,8
2022-08-21,9
2022-08-28,8
2022-09-04,10
2022-09-11,12
2022-09-18,12
2022-09-25,11
2022-10-02,14
2022-10-09,13
2022-10-16,14
2022-10-23,12
2022-10-30,9
2022-11-06,11
2022-11-13,12
2022-11-20,11
2022-11-27,12
2022-12-04,11
2022-12-11,12
2022-12-18,9
2022-12-25,8
2023-01-01,11
2023-01-08,12
2023-01-15,12
2023-01-22,12
2023-01-29,13
2023-02-05,13
2023-02-12,13
2023-02-19,12
2023-02-26,14
2023-03-05,13
2023-03-12,13
2023-03-19,12
2023-03-26,13
2023-04-02,10
2023-04-09,11
2023-04-16,11
2023-04-23,10
2023-04-30,8
2023-05-07,11
2023-05-14,11
2023-05-21,10
2023-05-28,10
2023-06-04,10
2023-06-11,9
2023-06-18,9
2023-06-25,11
2023-07-02,13
2023-07-09,9
2023-07-16,9
