Category: All categories

Week,Svitlovods'k: (Worldwide)
2022-02-20,60
2022-02-27,69
2022-03-06,100
2022-03-13,62
2022-03-20,66
2022-03-27,69
2022-04-03,77
2022-04-10,88
2022-04-17,78
2022-04-24,67
2022-05-01,68
2022-05-08,71
2022-05-15,73
2022-05-22,85
2022-05-29,79
2022-06-05,64
2022-06-12,81
2022-06-19,85
2022-06-26,75
2022-07-03,85
2022-07-10,80
2022-07-17,72
2022-07-24,77
2022-07-31,80
2022-08-07,77
2022-08-14,81
2022-08-21,67
2022-08-28,69
2022-09-04,63
2022-09-11,83
2022-09-18,75
2022-09-25,70
2022-10-02,65
2022-10-09,61
2022-10-16,64
2022-10-23,66
2022-10-30,86
2022-11-06,57
2022-11-13,66
2022-11-20,61
2022-11-27,50
2022-12-04,60
2022-12-11,58
2022-12-18,60
2022-12-25,59
2023-01-01,62
2023-01-08,67
2023-01-15,56
2023-01-22,52
2023-01-29,56
2023-02-05,53
2023-02-12,58
2023-02-19,58
2023-02-26,63
2023-03-05,59
2023-03-12,62
2023-03-19,63
2023-03-26,78
2023-04-02,72
2023-04-09,70
2023-04-16,71
2023-04-23,72
2023-04-30,65
2023-05-07,55
2023-05-14,58
2023-05-21,70
2023-05-28,62
2023-06-04,60
2023-06-11,73
2023-06-18,74
2023-06-25,70
2023-07-02,83
2023-07-09,67
2023-07-16,73
2023-07-23,69
