Category: All categories

Week,Svyatohirs'k: (Worldwide)
2022-02-20,9
2022-02-27,12
2022-03-06,20
2022-03-13,58
2022-03-20,10
2022-03-27,19
2022-04-03,13
2022-04-10,11
2022-04-17,20
2022-04-24,13
2022-05-01,16
2022-05-08,38
2022-05-15,10
2022-05-22,13
2022-05-29,71
2022-06-05,90
2022-06-12,28
2022-06-19,10
2022-06-26,8
2022-07-03,9
2022-07-10,10
2022-07-17,7
2022-07-24,7
2022-07-31,24
2022-08-07,5
2022-08-14,6
2022-08-21,4
2022-08-28,4
2022-09-04,11
2022-09-11,100
2022-09-18,9
2022-09-25,8
2022-10-02,10
2022-10-09,7
2022-10-16,9
2022-10-23,6
2022-10-30,7
2022-11-06,5
2022-11-13,5
2022-11-20,3
2022-11-27,5
2022-12-04,5
2022-12-11,5
2022-12-18,5
2022-12-25,4
2023-01-01,6
2023-01-08,6
2023-01-15,4
2023-01-22,4
2023-01-29,4
2023-02-05,3
2023-02-12,4
2023-02-19,3
2023-02-26,5
2023-03-05,4
2023-03-12,5
2023-03-19,5
2023-03-26,5
2023-04-02,5
2023-04-09,5
2023-04-16,5
2023-04-23,5
2023-04-30,4
2023-05-07,4
2023-05-14,3
2023-05-21,4
2023-05-28,3
2023-06-04,3
2023-06-11,4
2023-06-18,3
2023-06-25,4
2023-07-02,3
2023-07-09,4
2023-07-16,4
