Category: All categories

Week,Nikolske: (Worldwide)
2022-02-20,38
2022-02-27,37
2022-03-06,46
2022-03-13,91
2022-03-20,100
2022-03-27,43
2022-04-03,45
2022-04-10,49
2022-04-17,38
2022-04-24,26
2022-05-01,47
2022-05-08,25
2022-05-15,39
2022-05-22,33
2022-05-29,26
2022-06-05,40
2022-06-12,27
2022-06-19,30
2022-06-26,43
2022-07-03,24
2022-07-10,35
2022-07-17,35
2022-07-24,24
2022-07-31,22
2022-08-07,6
2022-08-14,16
2022-08-21,17
2022-08-28,15
2022-09-04,18
2022-09-11,30
2022-09-18,10
2022-09-25,20
2022-10-02,23
2022-10-09,30
2022-10-16,18
2022-10-23,18
2022-10-30,21
2022-11-06,15
2022-11-13,18
2022-11-20,20
2022-11-27,15
2022-12-04,27
2022-12-11,20
2022-12-18,20
2022-12-25,23
2023-01-01,14
2023-01-08,32
2023-01-15,24
2023-01-22,18
2023-01-29,27
2023-02-05,15
2023-02-12,32
2023-02-19,25
2023-02-26,20
2023-03-05,21
2023-03-12,13
2023-03-19,12
2023-03-26,26
2023-04-02,21
2023-04-09,18
2023-04-16,39
2023-04-23,24
2023-04-30,28
2023-05-07,24
2023-05-14,14
2023-05-21,37
2023-05-28,21
2023-06-04,20
2023-06-11,23
2023-06-18,12
2023-06-25,19
2023-07-02,20
2023-07-09,14
2023-07-16,25
2023-07-23,34
