Category: All categories

Week,Tal'ne: (Worldwide)
2022-02-20,61
2022-02-27,61
2022-03-06,77
2022-03-13,60
2022-03-20,86
2022-03-27,75
2022-04-03,77
2022-04-10,92
2022-04-17,85
2022-04-24,82
2022-05-01,60
2022-05-08,74
2022-05-15,74
2022-05-22,82
2022-05-29,79
2022-06-05,76
2022-06-12,81
2022-06-19,95
2022-06-26,74
2022-07-03,81
2022-07-10,81
2022-07-17,56
2022-07-24,69
2022-07-31,77
2022-08-07,84
2022-08-14,77
2022-08-21,57
2022-08-28,65
2022-09-04,70
2022-09-11,82
2022-09-18,83
2022-09-25,83
2022-10-02,64
2022-10-09,55
2022-10-16,66
2022-10-23,57
2022-10-30,65
2022-11-06,62
2022-11-13,84
2022-11-20,67
2022-11-27,50
2022-12-04,59
2022-12-11,68
2022-12-18,57
2022-12-25,58
2023-01-01,73
2023-01-08,65
2023-01-15,64
2023-01-22,45
2023-01-29,52
2023-02-05,63
2023-02-12,60
2023-02-19,55
2023-02-26,55
2023-03-05,61
2023-03-12,63
2023-03-19,66
2023-03-26,92
2023-04-02,94
2023-04-09,81
2023-04-16,80
2023-04-23,81
2023-04-30,66
2023-05-07,72
2023-05-14,66
2023-05-21,85
2023-05-28,73
2023-06-04,69
2023-06-11,73
2023-06-18,78
2023-06-25,75
2023-07-02,100
2023-07-09,69
2023-07-16,73
