Category: All categories

Week,Tarasivka: (Worldwide)
2022-02-20,50
2022-02-27,41
2022-03-06,62
2022-03-13,34
2022-03-20,100
2022-03-27,42
2022-04-03,48
2022-04-10,43
2022-04-17,39
2022-04-24,37
2022-05-01,42
2022-05-08,44
2022-05-15,50
2022-05-22,57
2022-05-29,54
2022-06-05,47
2022-06-12,63
2022-06-19,62
2022-06-26,51
2022-07-03,58
2022-07-10,60
2022-07-17,47
2022-07-24,42
2022-07-31,45
2022-08-07,50
2022-08-14,46
2022-08-21,58
2022-08-28,45
2022-09-04,41
2022-09-11,46
2022-09-18,47
2022-09-25,45
2022-10-02,34
2022-10-09,44
2022-10-16,41
2022-10-23,44
2022-10-30,45
2022-11-06,37
2022-11-13,53
2022-11-20,30
2022-11-27,46
2022-12-04,40
2022-12-11,33
2022-12-18,30
2022-12-25,44
2023-01-01,45
2023-01-08,42
2023-01-15,38
2023-01-22,36
2023-01-29,34
2023-02-05,36
2023-02-12,39
2023-02-19,34
2023-02-26,44
2023-03-05,28
2023-03-12,42
2023-03-19,42
2023-03-26,48
2023-04-02,53
2023-04-09,51
2023-04-16,48
2023-04-23,47
2023-04-30,47
2023-05-07,45
2023-05-14,39
2023-05-21,47
2023-05-28,42
2023-06-04,58
2023-06-11,51
2023-06-18,44
2023-06-25,51
2023-07-02,40
2023-07-09,43
2023-07-16,44
2023-07-23,57
