Category: All categories

Week,ternopil: (Worldwide)
2022-02-20,100
2022-02-27,94
2022-03-06,54
2022-03-13,44
2022-03-20,23
2022-03-27,26
2022-04-03,35
2022-04-10,20
2022-04-17,17
2022-04-24,18
2022-05-01,16
2022-05-08,14
2022-05-15,16
2022-05-22,14
2022-05-29,12
2022-06-05,15
2022-06-12,26
2022-06-19,10
2022-06-26,12
2022-07-03,13
2022-07-10,11
2022-07-17,12
2022-07-24,11
2022-07-31,14
2022-08-07,12
2022-08-14,10
2022-08-21,11
2022-08-28,9
2022-09-04,11
2022-09-11,11
2022-09-18,15
2022-09-25,11
2022-10-02,9
2022-10-09,25
2022-10-16,13
2022-10-23,13
2022-10-30,12
2022-11-06,12
2022-11-13,15
2022-11-20,12
2022-11-27,16
2022-12-04,13
2022-12-11,17
2022-12-18,13
2022-12-25,16
2023-01-01,13
2023-01-08,14
2023-01-15,12
2023-01-22,11
2023-01-29,11
2023-02-05,14
2023-02-12,11
2023-02-19,8
2023-02-26,12
2023-03-05,10
2023-03-12,11
2023-03-19,11
2023-03-26,10
2023-04-02,12
2023-04-09,11
2023-04-16,10
2023-04-23,10
2023-04-30,13
2023-05-07,92
2023-05-14,58
2023-05-21,11
2023-05-28,11
2023-06-04,9
2023-06-11,10
2023-06-18,11
2023-06-25,18
2023-07-02,12
2023-07-09,13
2023-07-16,14
