Category: All categories

Week,tokmak: (Worldwide)
2022-02-20,39
2022-02-27,35
2022-03-06,18
2022-03-13,19
2022-03-20,21
2022-03-27,25
2022-04-03,21
2022-04-10,22
2022-04-17,29
2022-04-24,19
2022-05-01,27
2022-05-08,28
2022-05-15,21
2022-05-22,22
2022-05-29,21
2022-06-05,21
2022-06-12,18
2022-06-19,30
2022-06-26,21
2022-07-03,18
2022-07-10,19
2022-07-17,18
2022-07-24,22
2022-07-31,26
2022-08-07,19
2022-08-14,25
2022-08-21,28
2022-08-28,26
2022-09-04,23
2022-09-11,19
2022-09-18,19
2022-09-25,23
2022-10-02,20
2022-10-09,20
2022-10-16,17
2022-10-23,22
2022-10-30,18
2022-11-06,19
2022-11-13,21
2022-11-20,21
2022-11-27,20
2022-12-04,17
2022-12-11,18
2022-12-18,21
2022-12-25,21
2023-01-01,30
2023-01-08,15
2023-01-15,19
2023-01-22,18
2023-01-29,16
2023-02-05,19
2023-02-12,14
2023-02-19,14
2023-02-26,16
2023-03-05,18
2023-03-12,16
2023-03-19,18
2023-03-26,17
2023-04-02,19
2023-04-09,18
2023-04-16,21
2023-04-23,26
2023-04-30,24
2023-05-07,23
2023-05-14,19
2023-05-21,20
2023-05-28,18
2023-06-04,100
2023-06-11,60
2023-06-18,35
2023-06-25,27
2023-07-02,24
2023-07-09,42
2023-07-16,19
