Category: All categories

Week,toretsk: (Worldwide)
2022-02-20,22
2022-02-27,33
2022-03-06,34
2022-03-13,15
2022-03-20,16
2022-03-27,9
2022-04-03,23
2022-04-10,18
2022-04-17,22
2022-04-24,0
2022-05-01,0
2022-05-08,24
2022-05-15,24
2022-05-22,27
2022-05-29,30
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,37
2022-07-10,11
2022-07-17,100
2022-07-24,0
2022-07-31,79
2022-08-07,31
2022-08-14,0
2022-08-21,0
2022-08-28,15
2022-09-04,0
2022-09-11,15
2022-09-18,0
2022-09-25,40
2022-10-02,14
2022-10-09,22
2022-10-16,0
2022-10-23,0
2022-10-30,18
2022-11-06,0
2022-11-13,39
2022-11-20,0
2022-11-27,60
2022-12-04,10
2022-12-11,23
2022-12-18,0
2022-12-25,45
2023-01-01,15
2023-01-08,36
2023-01-15,19
2023-01-22,17
2023-01-29,0
2023-02-05,29
2023-02-12,0
2023-02-19,17
2023-02-26,0
2023-03-05,0
2023-03-12,10
2023-03-19,16
2023-03-26,0
2023-04-02,44
2023-04-09,24
2023-04-16,22
2023-04-23,0
2023-04-30,14
2023-05-07,0
2023-05-14,11
2023-05-21,32
2023-05-28,40
2023-06-04,0
2023-06-11,28
2023-06-18,33
2023-06-25,0
2023-07-02,11
2023-07-09,13
2023-07-16,0
