Category: All categories

Week,Trostyanets': (Worldwide)
2022-02-20,17
2022-02-27,100
2022-03-06,24
2022-03-13,20
2022-03-20,99
2022-03-27,94
2022-04-03,21
2022-04-10,15
2022-04-17,13
2022-04-24,12
2022-05-01,10
2022-05-08,11
2022-05-15,10
2022-05-22,12
2022-05-29,13
2022-06-05,9
2022-06-12,10
2022-06-19,13
2022-06-26,10
2022-07-03,12
2022-07-10,12
2022-07-17,13
2022-07-24,9
2022-07-31,12
2022-08-07,11
2022-08-14,11
2022-08-21,9
2022-08-28,10
2022-09-04,9
2022-09-11,11
2022-09-18,10
2022-09-25,12
2022-10-02,10
2022-10-09,10
2022-10-16,9
2022-10-23,11
2022-10-30,8
2022-11-06,9
2022-11-13,9
2022-11-20,9
2022-11-27,9
2022-12-04,8
2022-12-11,8
2022-12-18,8
2022-12-25,9
2023-01-01,11
2023-01-08,9
2023-01-15,8
2023-01-22,7
2023-01-29,8
2023-02-05,8
2023-02-12,9
2023-02-19,10
2023-02-26,9
2023-03-05,10
2023-03-12,9
2023-03-19,10
2023-03-26,15
2023-04-02,13
2023-04-09,10
2023-04-16,11
2023-04-23,13
2023-04-30,11
2023-05-07,11
2023-05-14,8
2023-05-21,12
2023-05-28,10
2023-06-04,10
2023-06-11,10
2023-06-18,11
2023-06-25,14
2023-07-02,12
2023-07-09,12
2023-07-16,12
