Category: All categories

Week,Truskavets: (Worldwide)
2022-02-20,66
2022-02-27,85
2022-03-06,100
2022-03-13,69
2022-03-20,64
2022-03-27,57
2022-04-03,63
2022-04-10,68
2022-04-17,51
2022-04-24,53
2022-05-01,53
2022-05-08,50
2022-05-15,45
2022-05-22,46
2022-05-29,44
2022-06-05,45
2022-06-12,47
2022-06-19,50
2022-06-26,52
2022-07-03,53
2022-07-10,51
2022-07-17,53
2022-07-24,55
2022-07-31,59
2022-08-07,65
2022-08-14,60
2022-08-21,56
2022-08-28,50
2022-09-04,48
2022-09-11,47
2022-09-18,47
2022-09-25,47
2022-10-02,42
2022-10-09,44
2022-10-16,45
2022-10-23,49
2022-10-30,47
2022-11-06,48
2022-11-13,44
2022-11-20,37
2022-11-27,36
2022-12-04,36
2022-12-11,37
2022-12-18,42
2022-12-25,44
2023-01-01,51
2023-01-08,48
2023-01-15,39
2023-01-22,38
2023-01-29,39
2023-02-05,41
2023-02-12,46
2023-02-19,43
2023-02-26,41
2023-03-05,40
2023-03-12,44
2023-03-19,49
2023-03-26,47
2023-04-02,46
2023-04-09,43
2023-04-16,46
2023-04-23,50
2023-04-30,49
2023-05-07,52
2023-05-14,51
2023-05-21,55
2023-05-28,55
2023-06-04,63
2023-06-11,74
2023-06-18,71
2023-06-25,76
2023-07-02,89
2023-07-09,86
2023-07-16,82
2023-07-23,82
