Category: All categories

Week,Tsarychanka: (Worldwide)
2022-02-20,54
2022-02-27,49
2022-03-06,56
2022-03-13,65
2022-03-20,63
2022-03-27,64
2022-04-03,87
2022-04-10,82
2022-04-17,93
2022-04-24,89
2022-05-01,48
2022-05-08,80
2022-05-15,77
2022-05-22,79
2022-05-29,86
2022-06-05,63
2022-06-12,76
2022-06-19,77
2022-06-26,80
2022-07-03,87
2022-07-10,79
2022-07-17,83
2022-07-24,71
2022-07-31,92
2022-08-07,84
2022-08-14,81
2022-08-21,74
2022-08-28,64
2022-09-04,74
2022-09-11,84
2022-09-18,86
2022-09-25,81
2022-10-02,50
2022-10-09,60
2022-10-16,74
2022-10-23,73
2022-10-30,66
2022-11-06,64
2022-11-13,78
2022-11-20,51
2022-11-27,46
2022-12-04,62
2022-12-11,68
2022-12-18,67
2022-12-25,53
2023-01-01,72
2023-01-08,70
2023-01-15,56
2023-01-22,60
2023-01-29,68
2023-02-05,71
2023-02-12,66
2023-02-19,70
2023-02-26,65
2023-03-05,70
2023-03-12,66
2023-03-19,76
2023-03-26,75
2023-04-02,79
2023-04-09,75
2023-04-16,75
2023-04-23,88
2023-04-30,74
2023-05-07,60
2023-05-14,79
2023-05-21,100
2023-05-28,78
2023-06-04,55
2023-06-11,79
2023-06-18,98
2023-06-25,99
2023-07-02,83
2023-07-09,87
2023-07-16,77
2023-07-23,66
