Category: All categories

Week,Uhroidy: (Worldwide)
2022-02-20,25
2022-02-27,0
2022-03-06,0
2022-03-13,22
2022-03-20,44
2022-03-27,72
2022-04-03,14
2022-04-10,39
2022-04-17,52
2022-04-24,45
2022-05-01,42
2022-05-08,38
2022-05-15,60
2022-05-22,29
2022-05-29,47
2022-06-05,58
2022-06-12,68
2022-06-19,78
2022-06-26,73
2022-07-03,35
2022-07-10,55
2022-07-17,19
2022-07-24,100
2022-07-31,23
2022-08-07,0
2022-08-14,57
2022-08-21,20
2022-08-28,29
2022-09-04,37
2022-09-11,58
2022-09-18,0
2022-09-25,28
2022-10-02,39
2022-10-09,40
2022-10-16,34
2022-10-23,27
2022-10-30,40
2022-11-06,31
2022-11-13,44
2022-11-20,32
2022-11-27,55
2022-12-04,22
2022-12-11,34
2022-12-18,0
2022-12-25,18
2023-01-01,53
2023-01-08,21
2023-01-15,13
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,28
2023-02-19,75
2023-02-26,38
2023-03-05,23
2023-03-12,26
2023-03-19,68
2023-03-26,57
2023-04-02,49
2023-04-09,31
2023-04-16,30
2023-04-23,76
2023-04-30,44
2023-05-07,15
2023-05-14,16
2023-05-21,36
2023-05-28,98
2023-06-04,32
2023-06-11,35
2023-06-18,72
2023-06-25,85
2023-07-02,49
2023-07-09,62
2023-07-16,71
2023-07-23,78
