Category: All categories

Week,Ukrainka: (Worldwide)
2022-02-20,80
2022-02-27,78
2022-03-06,55
2022-03-13,53
2022-03-20,53
2022-03-27,49
2022-04-03,53
2022-04-10,56
2022-04-17,48
2022-04-24,55
2022-05-01,56
2022-05-08,54
2022-05-15,54
2022-05-22,56
2022-05-29,59
2022-06-05,49
2022-06-12,55
2022-06-19,58
2022-06-26,53
2022-07-03,59
2022-07-10,68
2022-07-17,56
2022-07-24,52
2022-07-31,66
2022-08-07,60
2022-08-14,56
2022-08-21,53
2022-08-28,56
2022-09-04,54
2022-09-11,51
2022-09-18,54
2022-09-25,47
2022-10-02,52
2022-10-09,43
2022-10-16,43
2022-10-23,48
2022-10-30,47
2022-11-06,39
2022-11-13,40
2022-11-20,42
2022-11-27,46
2022-12-04,46
2022-12-11,47
2022-12-18,45
2022-12-25,51
2023-01-01,52
2023-01-08,44
2023-01-15,38
2023-01-22,55
2023-01-29,40
2023-02-05,46
2023-02-12,48
2023-02-19,47
2023-02-26,46
2023-03-05,40
2023-03-12,41
2023-03-19,52
2023-03-26,53
2023-04-02,49
2023-04-09,58
2023-04-16,43
2023-04-23,100
2023-04-30,48
2023-05-07,50
2023-05-14,43
2023-05-21,48
2023-05-28,42
2023-06-04,47
2023-06-11,48
2023-06-18,43
2023-06-25,51
2023-07-02,48
2023-07-09,53
2023-07-16,52
