Category: All categories

Week,uman: (Worldwide)
2022-02-20,100
2022-02-27,83
2022-03-06,58
2022-03-13,59
2022-03-20,63
2022-03-27,56
2022-04-03,52
2022-04-10,46
2022-04-17,45
2022-04-24,45
2022-05-01,48
2022-05-08,46
2022-05-15,48
2022-05-22,49
2022-05-29,44
2022-06-05,46
2022-06-12,63
2022-06-19,73
2022-06-26,49
2022-07-03,42
2022-07-10,41
2022-07-17,45
2022-07-24,42
2022-07-31,42
2022-08-07,46
2022-08-14,44
2022-08-21,55
2022-08-28,72
2022-09-04,100
2022-09-11,85
2022-09-18,77
2022-09-25,75
2022-10-02,57
2022-10-09,63
2022-10-16,54
2022-10-23,49
2022-10-30,54
2022-11-06,54
2022-11-13,56
2022-11-20,53
2022-11-27,49
2022-12-04,47
2022-12-11,52
2022-12-18,43
2022-12-25,42
2023-01-01,50
2023-01-08,57
2023-01-15,56
2023-01-22,55
2023-01-29,58
2023-02-05,59
2023-02-12,58
2023-02-19,98
2023-02-26,61
2023-03-05,57
2023-03-12,55
2023-03-19,57
2023-03-26,58
2023-04-02,50
2023-04-09,48
2023-04-16,50
2023-04-23,91
2023-04-30,60
2023-05-07,52
2023-05-14,57
2023-05-21,53
2023-05-28,50
2023-06-04,54
2023-06-11,53
2023-06-18,53
2023-06-25,78
2023-07-02,49
2023-07-09,45
2023-07-16,53
