Category: All categories

Week,uzhorod: (Worldwide)
2022-02-20,68
2022-02-27,71
2022-03-06,29
2022-03-13,100
2022-03-20,28
2022-03-27,16
2022-04-03,21
2022-04-10,6
2022-04-17,11
2022-04-24,3
2022-05-01,12
2022-05-08,14
2022-05-15,12
2022-05-22,0
2022-05-29,7
2022-06-05,8
2022-06-12,4
2022-06-19,9
2022-06-26,8
2022-07-03,8
2022-07-10,6
2022-07-17,6
2022-07-24,8
2022-07-31,12
2022-08-07,4
2022-08-14,9
2022-08-21,7
2022-08-28,8
2022-09-04,4
2022-09-11,5
2022-09-18,7
2022-09-25,6
2022-10-02,10
2022-10-09,7
2022-10-16,9
2022-10-23,5
2022-10-30,9
2022-11-06,9
2022-11-13,4
2022-11-20,7
2022-11-27,0
2022-12-04,7
2022-12-11,3
2022-12-18,7
2022-12-25,10
2023-01-01,8
2023-01-08,7
2023-01-15,6
2023-01-22,7
2023-01-29,9
2023-02-05,8
2023-02-12,7
2023-02-19,6
2023-02-26,8
2023-03-05,11
2023-03-12,14
2023-03-19,10
2023-03-26,9
2023-04-02,5
2023-04-09,9
2023-04-16,7
2023-04-23,8
2023-04-30,8
2023-05-07,6
2023-05-14,6
2023-05-21,6
2023-05-28,9
2023-06-04,3
2023-06-11,10
2023-06-18,4
2023-06-25,4
2023-07-02,9
2023-07-09,0
2023-07-16,13
