Category: All categories

Week,Vakulove: (Worldwide)
2022-02-20,0
2022-02-27,38
2022-03-06,33
2022-03-13,34
2022-03-20,68
2022-03-27,23
2022-04-03,45
2022-04-10,21
2022-04-17,20
2022-04-24,64
2022-05-01,46
2022-05-08,0
2022-05-15,26
2022-05-22,33
2022-05-29,29
2022-06-05,50
2022-06-12,45
2022-06-19,60
2022-06-26,65
2022-07-03,17
2022-07-10,52
2022-07-17,51
2022-07-24,65
2022-07-31,33
2022-08-07,18
2022-08-14,17
2022-08-21,17
2022-08-28,42
2022-09-04,49
2022-09-11,67
2022-09-18,0
2022-09-25,53
2022-10-02,0
2022-10-09,0
2022-10-16,24
2022-10-23,26
2022-10-30,46
2022-11-06,82
2022-11-13,62
2022-11-20,70
2022-11-27,28
2022-12-04,32
2022-12-11,0
2022-12-18,50
2022-12-25,49
2023-01-01,0
2023-01-08,18
2023-01-15,0
2023-01-22,0
2023-01-29,18
2023-02-05,0
2023-02-12,34
2023-02-19,33
2023-02-26,27
2023-03-05,45
2023-03-12,0
2023-03-19,0
2023-03-26,62
2023-04-02,0
2023-04-09,100
2023-04-16,67
2023-04-23,79
2023-04-30,56
2023-05-07,0
2023-05-14,37
2023-05-21,42
2023-05-28,35
2023-06-04,42
2023-06-11,50
2023-06-18,59
2023-06-25,31
2023-07-02,55
2023-07-09,28
2023-07-16,30
2023-07-23,0
